Question,Answers,Comment,Instructions,Render as
丐う,こう,"① こう。物をねだる。願い求める。こじき。
② あたえる。めぐみあたえる。",Type the reading!,Text
丕,もと,"① おおきい。盛大な。立派な。
② 受ける。慎んで受ける。
③ もと。はじめ。",Type the reading!,Text
丕きい,おおきい,"① おおきい。盛大な。立派な。
② 受ける。慎んで受ける。
③ もと。はじめ。",Type the reading!,Text
丕ける,うける,"① おおきい。盛大な。立派な。
② 受ける。慎んで受ける。
③ もと。はじめ。",Type the reading!,Text
丗,"さんじゅう,みそ,よ","【A】セ・セイ・よ
① よ。三十年間。
② よ。親のあとを継いでから、その地位を子に引き継ぐまでの期間。
③ よ。時代。時勢。
④ よのなか。社会。
⑤ よよ。代々。
⑥ よよにす。受け継ぐ。代々続く。
【B】ソウ・さんじゅう・みそさんじゅう。三十。「卅」が十を三つ組み合わせた形であることから。",Type the reading!,Text
丫,あげまき,"① ふたまた。また。先端がふたまたに分かれたもの。
② あげまき。総角。髪の毛を左右でたばねて巻き上げた子どもの髪型。",Type the reading!,Text
丱,あげまき,"① あげまき。総角。髪の毛を左右でたばねて巻き上げた子どもの髪型。
② おさない。幼い子ども。",Type the reading!,Text
丱い,おさない,"① あげまき。総角。髪の毛を左右でたばねて巻き上げた子どもの髪型。
② おさない。幼い子ども。",Type the reading!,Text
乂める,おさめる,"① おさめる。おさまる。統治する。
② かる。草をかる。草をかり取る。＝刈
③ すぐれる。すぐれている。賢い人。",Type the reading!,Text
乂る,かる,"① おさめる。おさまる。統治する。
② かる。草をかる。草をかり取る。＝刈
③ すぐれる。すぐれている。賢い人。",Type the reading!,Text
乂れる,すぐれる,"① おさめる。おさまる。統治する。
② かる。草をかる。草をかり取る。＝刈
③ すぐれる。すぐれている。賢い人。",Type the reading!,Text
乖く,そむく,"① そむく。もとる。本来の道理からはずれる。
② 離れる。分かれる。",Type the reading!,Text
乖る,もとる,"① そむく。もとる。本来の道理からはずれる。
② 離れる。分かれる。",Type the reading!,Text
于,ああ,"① ああ。感嘆をあらわすことば。
② ゆく。いく。
③ 「ここに」と読み、語調を整える意を表わす。
④ 「～に」「～を」「～より」と読み、場所や動作の対象、比較などを表す。訓読では読まずに送りがなをつける。",Type the reading!,Text
于く,ゆく,"① ああ。感嘆をあらわすことば。
② ゆく。いく。
③ 「ここに」と読み、語調を整える意を表わす。
④ 「～に」「～を」「～より」と読み、場所や動作の対象、比較などを表す。訓読では読まずに送りがなをつける。",Type the reading!,Text
于に,ここに,"① ああ。感嘆をあらわすことば。
② ゆく。いく。
③ 「ここに」と読み、語調を整える意を表わす。
④ 「～に」「～を」「～より」と読み、場所や動作の対象、比較などを表す。訓読では読まずに送りがなをつける。",Type the reading!,Text
亟,しばしば,"【A】キョク
① すみやか。はやく。急いで。
② あわただしい。
【B】キしばしば。くりかえして。何度も。",Type the reading!,Text
亟やか,すみやか,"【A】キョク
① すみやか。はやく。急いで。
② あわただしい。
【B】キしばしば。くりかえして。何度も。",Type the reading!,Text
亢,のど,"【A】コウのど。くび。くびすじ。
【B】コウ
① あがる。あげる。高く上がる。
② あたる。匹敵する。対等である。
③ きわめる。きわまる。
④ たかい。たかぶる。
⑤ 二十八宿の一つ。あみぼし。",Type the reading!,Text
亢い,たかい,"【A】コウのど。くび。くびすじ。
【B】コウ
① あがる。あげる。高く上がる。
② あたる。匹敵する。対等である。
③ きわめる。きわまる。
④ たかい。たかぶる。
⑤ 二十八宿の一つ。あみぼし。",Type the reading!,Text
亢がる,あがる,"【A】コウのど。くび。くびすじ。
【B】コウ
① あがる。あげる。高く上がる。
② あたる。匹敵する。対等である。
③ きわめる。きわまる。
④ たかい。たかぶる。
⑤ 二十八宿の一つ。あみぼし。",Type the reading!,Text
