Question,Answers,Comment,Instructions,Render as
"__糱__を栽培して商う
関連熟語：--  ★糱（もやし） 米、麦、大豆などを水に浸し、光に当てないで発芽させたもの。食用。大麦のもやしはビール,飴（あめ）などの原料。〈漢字ペディア〉  ●H09-3㈠／ ●H13-3㈠／ ●H19-1㈠／ ●H27-3㈠",もやし,"関連熟語：--  ★糱（もやし） 米、麦、大豆などを水に浸し、光に当てないで発芽させたもの。食用。大麦のもやしはビール,飴（あめ）などの原料。〈漢字ペディア〉  ●H09-3㈠／ ●H13-3㈠／ ●H19-1㈠／ ●H27-3㈠",読み方をご入力ください,Text
"__一纏__めにしておいたので安心しなさい
関連熟語：纏綿（テンメン）  ★一纏め（ひとまと-め） 一つにまとめること。〈漢字ペディア〉  ●H06-2㈠",ひとまと,関連熟語：纏綿（テンメン）  ★一纏め（ひとまと-め） 一つにまとめること。〈漢字ペディア〉  ●H06-2㈠,読み方をご入力ください,Text
"__鵜篝__が川面に映える
関連熟語：篝火（コウカ）  ●H11-2㈠",うかがり,関連熟語：篝火（コウカ）  ●H11-2㈠,読み方をご入力ください,Text
"__襖__に衣を重ねても逃がすべきに非ず
関連熟語：位襖（イオウ）  ★襖（あお）  1.両わきの開いた上着で、昔の武官の礼服。 2.「狩襖(ｶﾘｱｵ)」の略で、「狩衣(ｶﾘｷﾞﾇ)」に同じ。昔、貴族が常用した略服で、のちに武家の礼服となった。襖子(ｱｵｼ)。〈漢字ペディア〉  ●R02-2㈠",あお,関連熟語：位襖（イオウ）  ★襖（あお）  1.両わきの開いた上着で、昔の武官の礼服。 2.「狩襖(ｶﾘｱｵ)」の略で、「狩衣(ｶﾘｷﾞﾇ)」に同じ。昔、貴族が常用した略服で、のちに武家の礼服となった。襖子(ｱｵｼ)。〈漢字ペディア〉  ●R02-2㈠,読み方をご入力ください,Text
"__乙丑__には五十六歳になっていた
関連熟語：乙丑（イッチュウ／オッチュウ）  ★十干十二支。",きのとうし,関連熟語：乙丑（イッチュウ／オッチュウ）  ★十干十二支。,読み方をご入力ください,Text
"__解__れを整えてやおら振り向いた
関連熟語：--  ★解れる（ほつ-れる） 結び目,縫い目などがほどける。〈漢字ペディア〉  ●H24-3㈠",ほつ,"関連熟語：--  ★解れる（ほつ-れる） 結び目,縫い目などがほどける。〈漢字ペディア〉  ●H24-3㈠",読み方をご入力ください,Text
"__乾涸__びた喉を潤す
関連熟語：乾涸（カンコ）  ★乾涸びる／乾枯びる／干涸びる／干枯びる（ひから-びる）  1.水分がすっかりなくなる。  2.うるおいや生気が失われる。〈漢字ペディア〉",ひから,関連熟語：乾涸（カンコ）  ★乾涸びる／乾枯びる／干涸びる／干枯びる（ひから-びる）  1.水分がすっかりなくなる。  2.うるおいや生気が失われる。〈漢字ペディア〉,読み方をご入力ください,Text
"__砧__打って我に聞かせよや坊が妻
関連熟語：砧杵（チンショ）  ★砧／碪（きぬた） 木づちで布を打つときに用いた木や石の台。また、それを打つこと。〈漢字ペディア〉  ●H08-1㈠",きぬた,関連熟語：砧杵（チンショ）  ★砧／碪（きぬた） 木づちで布を打つときに用いた木や石の台。また、それを打つこと。〈漢字ペディア〉  ●H08-1㈠,読み方をご入力ください,Text
"__逆捩__を食わせる
関連熟語：--  ▼逆捩を食わせる…反対になじる。逆に問いつめる。逆手(ｷﾞｬｸﾃ)を取る。〈日本国語大辞典〉",さかねじ,関連熟語：--  ▼逆捩を食わせる…反対になじる。逆に問いつめる。逆手(ｷﾞｬｸﾃ)を取る。〈日本国語大辞典〉,読み方をご入力ください,Text
"__襟刳__りの汚れは目立つ
関連熟語：--  ★襟刳り（えりぐ-り） 洋服などで、首回りに従ってくりあけた襟回りの線。ネックライン。〈日本国語大辞典〉",えりぐ,関連熟語：--  ★襟刳り（えりぐ-り） 洋服などで、首回りに従ってくりあけた襟回りの線。ネックライン。〈日本国語大辞典〉,読み方をご入力ください,Text
