Question,Answers,Comment,Instructions,Render as
"「稲を扱く」
「（指で）ひもを扱く」",こく,扱く,漢字の読みを入力してください,Text
"「紙を扱く」「帯を扱く」
「新入部員を扱く」
「なわを扱く」
「投球練習で扱かれる」",しごく,扱く,漢字の読みを入力してください,Text
"「予想に違う結果が出た」「寸分違わぬ」
「法に違う行い」
「約束に違う行為」",たがう,違う,漢字の読みを入力してください,Text
「意見が違う」「話が違う」,ちがう,違う,漢字の読みを入力してください,Text
"「台風の進路が逸れる」
「話が脇道へ逸れる」",それる,逸れる,漢字の読みを入力してください,Text
"「親に逸れて迷子になる」
「連れと逸れる」",はぐれる,逸れる,漢字の読みを入力してください,Text
"「恐竜が栄えた時代」
「一族が栄える」
「富み栄える」",さかえる,栄える,漢字の読みを入力してください,Text
"「風采が一向に栄えない」
「栄えない役回り」
打ち消しの形が多い。",はえる,栄える,漢字の読みを入力してください,Text
"「その後三年を閲して」
「法案を閲する」
「完成まで三年を閲する」",えっする,閲する,漢字の読みを入力してください,Text
"「歴史を閲する」
「もはや五年を閲する」",けみする,閲する,漢字の読みを入力してください,Text
"「艶めく緑の葉」
「艶めいた話」",つやめく,艶めく,漢字の読みを入力してください,Text
"「艶めいたしぐさ」
「艶めいた姿」",なまめく,艶めく,漢字の読みを入力してください,Text
"「聖域を汚す」「家名を汚す」
「末席を汚す」「下品な冗談で耳を汚された」",けがす,汚す,漢字の読みを入力してください,Text
"「みんなの公園を汚すな」「手を汚して得た金」
「着物を汚す・本を汚す」",よごす,汚す,漢字の読みを入力してください,Text
"「疲れて目が落ち凹む」
「笑うと右の頰が凹む」",くぼむ,凹む,漢字の読みを入力してください,Text
"「ぶつかって車体が凹む」
「収入が凹む」「今日は大分凹んだ」",へこむ,凹む,漢字の読みを入力してください,Text
"「列車が横浜駅を過ぎた」
「もう六時を過ぎた」",すぎる,過ぎる,漢字の読みを入力してください,Text
"「眼前を人影が過る」
「思い出が脳裏を過る」",よぎる,過ぎる,漢字の読みを入力してください,Text
"「帯を解く」「難問を解く」「契約を解く」
「暗号を解く」",とく,解く,漢字の読みを入力してください,Text
"「古い着物を解いて仕立て直す」
「荷物を解く」「着物を解いて縫い直す」
「解く」に比べて、口頭語的な言い方。「縄を とく／ほどく」など、ともに動作に焦点を当てて使うほか、「とく」には、離したり解除したりした結果に焦点を当てる用法がある。",ほどく,解く,漢字の読みを入力してください,Text
「扉が開く」「窓が開く」「蓋が開かない」,あく,開く,漢字の読みを入力してください,Text
"「戸を開く」「ドアが開く」
「本を開く」「手を開く」",ひらく,開く,漢字の読みを入力してください,Text
"「九時に店を開ける」
 「戸を開ける」",あける,開ける,漢字の読みを入力してください,Text
"「胸を開ける」
「着物の裾が開ける」",はだける,開ける,漢字の読みを入力してください,Text
"「広い平野が開けている郊外」
「世の中が開ける」
「運が開ける」",ひらける,開ける,漢字の読みを入力してください,Text
" 「転びそうになったが、持ち堪える」
「堪えられない味〔＝この上なくよい味〕」
「あの暑さに堪えられるかどうか心配だ」",こたえる,堪える,漢字の読みを入力してください,Text
"「傷の痛みを堪える」
「怒りを堪える」",こらえる,堪える,漢字の読みを入力してください,Text
"「名作の名に堪える作品。」
「負担に堪える・任に堪えない」
「批判に堪える・読むに堪えない」
「喜びに堪えない」",たえる,堪える,漢字の読みを入力してください,Text
"「気取った口調」
「名人を気取る」",きどる,気取る,漢字の読みを入力してください,Text
「秘め事を気取られる」,けどる,気取る,漢字の読みを入力してください,Text
"「戯けた格好をして笑わせる」
「戯けたしぐさ」",おどける,戯ける,漢字の読みを入力してください,Text
"「戯けたことを言うな」
「戯けたことをするな」",たわける,戯ける,漢字の読みを入力してください,Text
「小遣いを強請る」「チップを強請る」,ねだる,強請る,漢字の読みを入力してください,Text
"「金を強請る」「人の弱みにつけこみ金を強請る」
「スキャンダルをネタに会社を強請る」",ゆする,強請る,漢字の読みを入力してください,Text
"「ピストルで脅かす」
「急に大声を出して脅かす」",おどかす,脅かす,漢字の読みを入力してください,Text
"「優勝こうほを脅かす大活躍」
「平和を脅かす」",おびやかす,脅かす,漢字の読みを入力してください,Text
「魚の煮汁が凝る」「血が凝る」「凝り豆腐」,こごる,凝る,漢字の読みを入力してください,Text
"「釣りに凝る」「凝っては思案にあたわず〔＝熱中しすぎると分別をなくす〕」
「凝った料理」",こる,凝る,漢字の読みを入力してください,Text
"「空いた箱を利用する」
「手が空く」
「スペースが空く」",あく,空く,漢字の読みを入力してください,Text
"「客がおりて電車が空く」
「お腹が空く」
「手が空いたら、手伝います」",すく,空く,漢字の読みを入力してください,Text
"「板に穴を空ける」
「席を空ける」 「皿を空ける」",あける,空ける,漢字の読みを入力してください,Text
"「空けた顔つき」
「空けたように立ち尽くしていた」",うつける,空ける,漢字の読みを入力してください,Text
"「地べたに屈む」「前に屈む」
「腰の屈んだ老人」「庭の雑草を屈んで取る」",かがむ,屈む,漢字の読みを入力してください,Text
「花の下を屈んで通る」「木枯らしの中を屈んで歩く」,こごむ,屈む,漢字の読みを入力してください,Text
「攻め倦む」「考え倦む」,あぐむ,倦む,漢字の読みを入力してください,Text
"「彼は仕事に倦むことを知らない」「倦むことなく努める」
「倦まず弛まず励む」 「倦まぬ努力が結実した」",うむ,倦む,漢字の読みを入力してください,Text
"「袖を捲る」「尻を捲る」
「言い捲る」「書き捲る」",まくる,捲る,漢字の読みを入力してください,Text
"「ページを捲る」
「布団を捲る」
「カレンダーを捲る」",めくる,捲る,漢字の読みを入力してください,Text
"「主君に見える」
「王に見える」
「戦場で相見える」",まみえる,見える,漢字の読みを入力してください,Text
"「暗くて何も見えない」
「海が見える」",みえる,見える,漢字の読みを入力してください,Text
"恍「惚けてもだめだ」
恍「惚けた顔」「惚けた表情で笑わせる」",とぼける,惚ける,漢字の読みを入力してください,Text
"「病気あがりで、まだ惚けた顔をしている」
「一日中遊び惚ける」",ほうける,惚ける,漢字の読みを入力してください,Text
"「年のせいか少し惚けた」
「まだ惚ける年ではない」",ぼける,惚ける,漢字の読みを入力してください,Text
"「鉛筆を削る」「鉋で木を削る」「身を削るような苦労」
「小遣いを削る」「人員を削る」",けずる,削る,漢字の読みを入力してください,Text
"「コンクリートの壁を削る」
「柱の面を削る」",はつる,削る,漢字の読みを入力してください,Text
"「風船が窄む」
「口の窄んだ壺」
「応援の声が窄んでくる」",すぼむ,窄む,漢字の読みを入力してください,Text
"「口の窄んだ壺」
「裾の窄んだズボン」",つぼむ,窄む,漢字の読みを入力してください,Text
"「目がかゆいので擦った」 「布で体を擦る」
「手を擦りあわせる・車を擦る・体を擦りつける」",こする,擦る,漢字の読みを入力してください,Text
"摩「背中を擦ってやる」
摩「痛む腰を擦る」",さする,擦る,漢字の読みを入力してください,Text
"「マッチを擦る」
「鑢で擦る」「墨を擦る」",する,擦る,漢字の読みを入力してください,Text
"「指先の泥を壁に擦る」
「人に責任を擦る」「失敗の責任を部下に擦る」",なする,擦る,漢字の読みを入力してください,Text
"「品物が全部捌ける」「最近はこのての本がよく捌ける」
「捌けた人」",さばける,捌ける,漢字の読みを入力してください,Text
"「下水がよく捌けない」
「在庫があらかた捌けた」
「溝を掘って雨水が捌けるようにする」",はける,捌ける,漢字の読みを入力してください,Text
「飲み止す」「言い止す」,さす,止す,漢字の読みを入力してください,Text
「馬鹿な真似は止せ」「もう遊びは止して勉強しよう」,よす,止す,漢字の読みを入力してください,Text
"「損害を最小限に止める」
「会員数を百人以内に止める」
「人声に足を止める」
「昔の面影を止める」",とどめる,止める,漢字の読みを入力してください,Text
「時計を止める」「息を止める」「通行を止める」,とめる,止める,漢字の読みを入力してください,Text
"「タバコを止める」「行くのを止める」
「勉強を止める・酒を止める・止めて、お願い」",やめる,止める,漢字の読みを入力してください,Text
「世を呪う」「呪われた運命」,のろう,呪う,漢字の読みを入力してください,Text
"「呪いをかける」
「災難をまぬがれるよう呪う」",まじなう,呪う,漢字の読みを入力してください,Text
