Question,Answers,Comment,freq_jpdb,moyenne_freq
不思議,"ふしぎ",読みを入力してください,606,155
可能性,"かのうせい",読みを入力してください,633,162
雰囲気,"ふんいき,ふいんき",読みを入力してください,850,520
不可能,"ふかのう",読みを入力してください,1699,155
出来事,"できごと",読みを入力してください,1767,17
違和感,"いわかん",読みを入力してください,2030,166
基本的,"きほんてき",読みを入力してください,2174,272
圧倒的,"あっとうてき",読みを入力してください,2256,388
具体的,"ぐたいてき",読みを入力してください,2259,236
居場所,"いばしょ",読みを入力してください,2378,188
無意識,"むいしき",読みを入力してください,2393,176
一週間,"いっしゅうかん",読みを入力してください,2403,183
不自然,"ふしぜん",読みを入力してください,2588,88
選択肢,"せんたくし",読みを入力してください,2648,992
一方的,"いっぽうてき",読みを入力してください,2674,40
積極的,"せっきょくてき",読みを入力してください,2751,525
日本人,"にほんじん,にっぽんじん",読みを入力してください,2760,11
関係者,"かんけいしゃ",読みを入力してください,2766,180
個人的,"こじんてき",読みを入力してください,2768,245
最終的,"さいしゅうてき",読みを入力してください,2774,97
世界中,"せかいじゅう",読みを入力してください,2827,88
本格的,"ほんかくてき",読みを入力してください,2838,152
一般的,"いっぱんてき",読みを入力してください,2870,424
精神的,"せいしんてき",読みを入力してください,2875,201
小学校,"しょうがっこう",読みを入力してください,2883,123
一時的,"いちじてき",読みを入力してください,2950,38
徹底的,"てっていてき",読みを入力してください,2964,739
比較的,"ひかくてき",読みを入力してください,2965,850
不機嫌,"ふきげん",読みを入力してください,3271,178
被害者,"ひがいしゃ",読みを入力してください,3320,416
誕生日,"たんじょうび",読みを入力してください,3346,298
不気味,"ぶきみ",読みを入力してください,3408,66
精一杯,"せいいっぱい",読みを入力してください,3421,409
一時間,"いちじかん",読みを入力してください,3452,15
放課後,"ほうかご",読みを入力してください,3454,355
予想外,"よそうがい",読みを入力してください,3468,219
無表情,"むひょうじょう",読みを入力してください,3470,124
主人公,"しゅじんこう",読みを入力してください,3573,170
小学生,"しょうがくせい",読みを入力してください,3641,68
高校生,"こうこうせい",読みを入力してください,3763,100
無邪気,"むじゃき",読みを入力してください,3853,193
深呼吸,"しんこきゅう",読みを入力してください,3859,407
無意味,"むいみ",読みを入力してください,3903,69
美少女,"びしょうじょ",読みを入力してください,3939,103
罪悪感,"ざいあくかん",読みを入力してください,4028,241
理不尽,"りふじん",読みを入力してください,4030,340
