Question,Answers,Comment,freq_jpdb,moyenne_freq
自分,"じぶん",読みを入力してください,61,19
本当,"ほんとう,ほんと",読みを入力してください,120,33
今日,"きょう,こんにち,こんち,こんじつ",読みを入力してください,122,9
言葉,"ことば,けとば",読みを入力してください,124,67
時間,"じかん",読みを入力してください,152,21
部屋,"へや",読みを入力してください,153,83
相手,"あいて",読みを入力してください,176,66
場所,"ばしょ",読みを入力してください,185,77
世界,"せかい",読みを入力してください,190,120
仕事,"しごと",読みを入力してください,194,67
必要,"ひつよう",読みを入力してください,195,177
意味,"いみ",読みを入力してください,211,80
心配,"しんぱい",読みを入力してください,225,138
様子,"ようす",読みを入力してください,236,27
名前,"なまえ",読みを入力してください,240,57
問題,"もんだい",読みを入力してください,246,218
理由,"りゆう,わけ",読みを入力してください,247,179
以上,"いじょう",読みを入力してください,250,80
絶対,"ぜったい",読みを入力してください,254,155
今度,"こんど",読みを入力してください,256,31
最後,"さいご",読みを入力してください,257,49
最初,"さいしょ",読みを入力してください,258,101
存在,"そんざい",読みを入力してください,260,278
無理,"むり",読みを入力してください,276,53
普通,"ふつう",読みを入力してください,281,217
以外,"いがい",読みを入力してください,307,121
説明,"せつめい",読みを入力してください,311,205
女性,"じょせい,にょしょう",読みを入力してください,313,69
状況,"じょうきょう",読みを入力してください,324,421
関係,"かんけい",読みを入力してください,325,252
理解,"りかい",読みを入力してください,337,107
場合,"ばあい,ばやい,ばわい",読みを入力してください,339,49
一度,"いちど,ひとたび",読みを入力してください,343,27
大変,"たいへん",読みを入力してください,350,41
簡単,"かんたん",読みを入力してください,353,547
完全,"かんぜん",読みを入力してください,358,206
状態,"じょうたい",読みを入力してください,359,300
勝手,"かって",読みを入力してください,368,72
結果,"けっか",読みを入力してください,370,205
最近,"さいきん",読みを入力してください,378,91
準備,"じゅんび",読みを入力してください,381,435
不安,"ふあん",読みを入力してください,384,151
安心,"あんしん,あんじん",読みを入力してください,386,133
用意,"ようい",読みを入力してください,392,93
家族,"かぞく",読みを入力してください,397,161
元気,"げんき",読みを入力してください,400,90
目的,"もくてき",読みを入力してください,407,59
生活,"せいかつ",読みを入力してください,409,164
方法,"ほうほう",読みを入力してください,410,95
途中,"とちゅう",読みを入力してください,424,323
期待,"きたい",読みを入力してください,428,191
大切,"たいせつ,たいせち,おおぎり",読みを入力してください,435,61
毎日,"まいにち",読みを入力してください,436,289
自由,"じゆう",読みを入力してください,439,165
原因,"げんいん,げいいん",読みを入力してください,442,605
彼女,"かのじょ",読みを入力してください,450,39
二人,"ふたり,ににん",読みを入力してください,474,44
先生,"シーサン,せんじょう,せんしょう,ぜんじょう,せんせい",読みを入力してください,485,28
一人,"ひとり,いちにん",読みを入力してください,507,2
表情,"ひょうじょう",読みを入力してください,512,162
確認,"かくにん",読みを入力してください,525,201
全部,"ぜんぶ",読みを入力してください,527,45
何度,"なんど",読みを入力してください,528,27
子供,"こども",読みを入力してください,531,172
瞬間,"しゅんかん",読みを入力してください,540,197
明日,"あした,あす,みょうにち",読みを入力してください,547,44
今回,"こんかい",読みを入力してください,554,39
昨日,"きのう,さくじつ",読みを入力してください,556,195
当然,"とうぜん",読みを入力してください,565,93
笑顔,"えがお",読みを入力してください,578,52
一瞬,"いっしゅん",読みを入力してください,602,189
記憶,"きおく",読みを入力してください,613,498
学校,"がっこう",読みを入力してください,616,130
