Question,Answers,Comment,Instructions,Render as
とんでもない・とでもない,"とんでもない,とでもない",1645,読みを入力してください,Text
きつい,きつい,2028,読みを入力してください,Text
やばい,やばい,3119,読みを入力してください,Text
でかい,でかい,3653,読みを入力してください,Text
ぎこちない,ぎこちない,4743,読みを入力してください,Text
だらしない,だらしない,5639,読みを入力してください,Text
もどかしい,もどかしい,5725,読みを入力してください,Text
ややこしい,ややこしい,5915,読みを入力してください,Text
しんどい,しんどい,7405,読みを入力してください,Text
エロい,えろい,8470,読みを入力してください,Text
きもい,きもい,9534,読みを入力してください,Text
あどけない,あどけない,10544,読みを入力してください,Text
けたたましい,けたたましい,11239,読みを入力してください,Text
うざい,うざい,11538,読みを入力してください,Text
しぶとい,しぶとい,11743,読みを入力してください,Text
ダサい,ださい,12373,読みを入力してください,Text
しおらしい,しおらしい,14941,読みを入力してください,Text
びくともしない,びくともしない,15314,読みを入力してください,Text
モテない,もてない,15382,読みを入力してください,Text
いじらしい,いじらしい,16411,読みを入力してください,Text
おっかない,おっかない,16626,読みを入力してください,Text
こそばゆい,こそばゆい,17813,読みを入力してください,Text
ちょろい,ちょろい,18391,読みを入力してください,Text
えげつない,えげつない,18465,読みを入力してください,Text
ごつい,ごつい,18556,読みを入力してください,Text
うっとい,うっとい,19344,読みを入力してください,Text
あざとい,あざとい,20527,読みを入力してください,Text
しがない,しがない,21159,読みを入力してください,Text
にべもない,にべもない,22987,読みを入力してください,Text
まどろっこしい,まどろっこしい,23277,読みを入力してください,Text
しょぼい,しょぼい,23520,読みを入力してください,Text
つれない,つれない,25786,読みを入力してください,Text
おどろおどろしい,おどろおどろしい,26643,読みを入力してください,Text
ちゃらい,ちゃらい,27562,読みを入力してください,Text
すばしっこい,すばしっこい,29103,読みを入力してください,Text
けばい,けばい,29137,読みを入力してください,Text
ぐろい,ぐろい,29514,読みを入力してください,Text
ぶっとい,ぶっとい,29923,読みを入力してください,Text
おもろい,おもろい,30735,読みを入力してください,Text
むさい,むさい,31503,読みを入力してください,Text
うざったい,うざったい,32073,読みを入力してください,Text
せこい,せこい,32189,読みを入力してください,Text
ごっつい,ごっつい,32609,読みを入力してください,Text
ひもじい,ひもじい,32920,読みを入力してください,Text
そそっかしい,そそっかしい,33485,読みを入力してください,Text
むずい,むずい,34010,読みを入力してください,Text
ねちっこい,ねちっこい,35821,読みを入力してください,Text
どでかい,どでかい,37219,読みを入力してください,Text
くちゃい,くちゃい,38327,読みを入力してください,Text
かったるい,かったるい,38637,読みを入力してください,Text
ばっちぃ,ばっちぃ,39317,読みを入力してください,Text
ばっちい,ばっちい,39317,読みを入力してください,Text
いもい,いもい,39812,読みを入力してください,Text
どぎつい,どぎつい,40913,読みを入力してください,Text
とろい,とろい,41370,読みを入力してください,Text
みみっちい,みみっちい,42213,読みを入力してください,Text
がめつい,がめつい,42930,読みを入力してください,Text
しどけない,しどけない,44508,読みを入力してください,Text
さもしい,さもしい,44756,読みを入力してください,Text
そこはかとない,そこはかとない,45407,読みを入力してください,Text
ひょろい,ひょろい,46050,読みを入力してください,Text
せせこましい,せせこましい,50414,読みを入力してください,Text
まあるい,まあるい,51468,読みを入力してください,Text
ぎごちない,ぎごちない,51496,読みを入力してください,Text
すばしこい,すばしこい,51806,読みを入力してください,Text
きしょい,きしょい,55576,読みを入力してください,Text
めんこい,めんこい,58331,読みを入力してください,Text
しつっこい,しつっこい,58336,読みを入力してください,Text
エモい,えもい,61645,読みを入力してください,Text
いじましい,いじましい,62003,読みを入力してください,Text
ずっこい,ずっこい,71954,読みを入力してください,Text
やらかい,やらかい,75724,読みを入力してください,Text
とろくさい,とろくさい,82260,読みを入力してください,Text
くだくだしい,くだくだしい,83707,読みを入力してください,Text
ぼったい,ぼったい,88403,読みを入力してください,Text
ものっそい,ものっそい,91309,読みを入力してください,Text
いくない,いくない,91809,読みを入力してください,Text
へぼい,へぼい,92292,読みを入力してください,Text
さくい,さくい,94978,読みを入力してください,Text
おもんない,おもんない,97077,読みを入力してください,Text
とっぽい,とっぽい,97268,読みを入力してください,Text
めごい,めごい,98376,読みを入力してください,Text
もっさい,もっさい,98517,読みを入力してください,Text
ちゃっちい,ちゃっちい,100064,読みを入力してください,Text
えずい,えずい,110941,読みを入力してください,Text
