Question,Answers,Comment,Instructions,Render as
ばれる,ばれる,1763,読みを入力してください,Text
ぶつかる,ぶつかる,1838,読みを入力してください,Text
なぞる,なぞる,4805,読みを入力してください,Text
さぼる,さぼる,5311,読みを入力してください,Text
ずれる,ずれる,5364,読みを入力してください,Text
むかつく,むかつく,5712,読みを入力してください,Text
ずらす,ずらす,5745,読みを入力してください,Text
びびる,びびる,5857,読みを入力してください,Text
ふらつく,ふらつく,6951,読みを入力してください,Text
しゃがむ,しゃがむ,6953,読みを入力してください,Text
のめる,のめる,7187,読みを入力してください,Text
ぶっちゃける,ぶっちゃける,8376,読みを入力してください,Text
たじろぐ,たじろぐ,8927,読みを入力してください,Text
ぼやく,ぼやく,9053,読みを入力してください,Text
ぼやける,ぼやける,9262,読みを入力してください,Text
うねる,うねる,9940,読みを入力してください,Text
はぐらかす,はぐらかす,9999,読みを入力してください,Text
くねる,くねる,10258,読みを入力してください,Text
ぶるう,ぶるう,10573,読みを入力してください,Text
ちらつく,ちらつく,10622,読みを入力してください,Text
ぶらつく,ぶらつく,10646,読みを入力してください,Text
くたばる,くたばる,10783,読みを入力してください,Text
あやす,あやす,11034,読みを入力してください,Text
ぐれる,ぐれる,11899,読みを入力してください,Text
しくじる,しくじる,11914,読みを入力してください,Text
はためく,はためく,11934,読みを入力してください,Text
ほざく,ほざく,12756,読みを入力してください,Text
せがむ,せがむ,12910,読みを入力してください,Text
そぐう,そぐう,13051,読みを入力してください,Text
しゃぶる,しゃぶる,13260,読みを入力してください,Text
くすむ,くすむ,14034,読みを入力してください,Text
ばらす,ばらす,14263,読みを入力してください,Text
ぶれる,ぶれる,14280,読みを入力してください,Text
くぐもる,くぐもる,14537,読みを入力してください,Text
ぎる,ぎる,14738,読みを入力してください,Text
ぼる,ぼる,14968,読みを入力してください,Text
めげる,めげる,15134,読みを入力してください,Text
ひくつく,ひくつく,16573,読みを入力してください,Text
いじける,いじける,17212,読みを入力してください,Text
だぶる,だぶる,17762,読みを入力してください,Text
いちゃつく,いちゃつく,18974,読みを入力してください,Text
がっつく,がっつく,19025,読みを入力してください,Text
いけてる,いけてる,20076,読みを入力してください,Text
そびれる,そびれる,20104,読みを入力してください,Text
すっぽかす,すっぽかす,20238,読みを入力してください,Text
しらばっくれる,しらばっくれる,20240,読みを入力してください,Text
ばたつく,ばたつく,20653,読みを入力してください,Text
