Question,Answers,Comment,Instructions,Render as
じゃない,じゃない,62,読みを入力してください,Text
ではない,ではない,100,読みを入力してください,Text
らしい,らしい,125,読みを入力してください,Text
いけない,いけない,279,読みを入力してください,Text
でもない,でもない,323,読みを入力してください,Text
しかない,しかない,588,読みを入力してください,Text
でない,でない,692,読みを入力してください,Text
どうしようもない,どうしようもない,2043,読みを入力してください,Text
までもない,までもない,2597,読みを入力してください,Text
やない,やない,9083,読みを入力してください,Text
そうそうない,そうそうない,26085,読みを入力してください,Text
そうにない,そうにない,55464,読みを入力してください,Text
それっぽい,それっぽい,66281,読みを入力してください,Text
である,である,79,読みを入力してください,Text
ではある,ではある,569,読みを入力してください,Text
いらっしゃる,いらっしゃる,823,読みを入力してください,Text
でもある,でもある,1251,読みを入力してください,Text
とある,とある,3598,読みを入力してください,Text
らっしゃる,らっしゃる,4173,読みを入力してください,Text
たげる,たげる,5121,読みを入力してください,Text
ずる,ずる,7346,読みを入力してください,Text
かっとなる,かっとなる,20119,読みを入力してください,Text
つつある,つつある,24795,読みを入力してください,Text
ほつく,ほつく,29354,読みを入力してください,Text
しつつある,しつつある,41449,読みを入力してください,Text
けちつける,けちつける,44260,読みを入力してください,Text
っぽい,っぽい,876,読みを入力してください,Text
たい,たい,15291,読みを入力してください,Text
がましい,がましい,23712,読みを入力してください,Text
っこい,っこい,30948,読みを入力してください,Text
たらしい,たらしい,32507,読みを入力してください,Text
しい,しい,77224,読みを入力してください,Text
したい,したい,132226,読みを入力してください,Text
やがる,やがる,1346,読みを入力してください,Text
てる,てる,1580,読みを入力してください,Text
したる,したる,2864,読みを入力してください,Text
めく,めく,3461,読みを入力してください,Text
びる,びる,3517,読みを入力してください,Text
じゃう,じゃう,4872,読みを入力してください,Text
ちゃう,ちゃう,6783,読みを入力してください,Text
がかる,がかる,7466,読みを入力してください,Text
ぐむ,ぐむ,14749,読みを入力してください,Text
たらしめる,たらしめる,22619,読みを入力してください,Text
ばむ,ばむ,25640,読みを入力してください,Text
ちまう,ちまう,27740,読みを入力してください,Text
てく,てく,29638,読みを入力してください,Text
せる,せる,32639,読みを入力してください,Text
がる,がる,39323,読みを入力してください,Text
じまう,じまう,42236,読みを入力してください,Text
でく,でく,48987,読みを入力してください,Text
のめす,のめす,55074,読みを入力してください,Text
させる,させる,301618,読みを入力してください,Text
させる,させる,301618,読みを入力してください,Text
れる,れる,#N/A,読みを入力してください,Text
られる,られる,#N/A,読みを入力してください,Text
