Question,Answers,Comment,Instructions,Render as
可笑しい,おかしい,,読みを入力してください,Text
相応しい，(相応う),ふさわしい,,読みを入力してください,Text
美味しい,おいしい,,読みを入力してください,Text
不味い,まずい,,読みを入力してください,Text
悪どい,あくどい,,読みを入力してください,Text
奥床しい,おくゆかしい,,読みを入力してください,Text
五月蝿い,うるさい,,読みを入力してください,Text
可愛い,かわいい,,読みを入力してください,Text
由々しい,ゆゆしい,,読みを入力してください,Text
目出度い，お__目出度い__,めでたい,,読みを入力してください,Text
覚束無い，覚束ない,おぼつかない,,読みを入力してください,Text
鹿爪らしい,しかつめらしい,,読みを入力してください,Text
頑張る,がんばる,,読みを入力してください,Text
誤魔化す,ごまかす,,読みを入力してください,Text
支払う,しはらう,,読みを入力してください,Text
流行る,はやる,,読みを入力してください,Text
躊躇う,ためらう,,読みを入力してください,Text
茶化す,ちゃかす,,読みを入力してください,Text
下卑る,げびる,,読みを入力してください,Text
洒落る,しゃれる,,読みを入力してください,Text
不貞腐れる,ふてくされる,,読みを入力してください,Text
巣食う,すくう,,読みを入力してください,Text
微睡む,まどろむ,,読みを入力してください,Text
"強請る｟他五｠
あまえてたのんで、手に入れようとする。
「ゲームソフトを━・芸能人にサインを━」",ねだる,,読みを入力してください,Text
小洒落る,こじゃれる,,読みを入力してください,Text
白を切る,しらをきる,,読みを入力してください,Text
藻掻く,もがく,,読みを入力してください,Text
吹雪く,ふぶく,,読みを入力してください,Text
頭に乗る,ずにのる,,読みを入力してください,Text
巫山戯る,ふざける,,読みを入力してください,Text
"揺蕩う
① ゆらゆらと揺れ動いて定まらない。「波間に小舟が―・う」
② 気持ちが定まらずためらう。心を決めかねる。
「強悪非道の曲物 (くせもの) も女と見て少し―・う内に」〈鉄腸・花間鶯〉",たゆたう,,読みを入力してください,Text
"分捕る
①他人の物を奪いとる。「他人の土地を―る」
②戦争で、敵の武器などを奪いとる。",ぶんどる,,読みを入力してください,Text
"強請る
おどしたり、弱みにつけこんだりして金品を取り上げたり、自分に従わせたりする。
「悪い連中に金を━・られる」",ゆする,,読みを入力してください,Text
伝染る,うつる,,読みを入力してください,Text
悄気る,しょげる,,読みを入力してください,Text
草臥れる,くたびれる,,読みを入力してください,Text
愚図る,ぐずる,,読みを入力してください,Text
逆上せる,のぼせる,,読みを入力してください,Text
乳繰る,ちちくる,,読みを入力してください,Text
"泥濘む
道などが泥濘になる。
「道が━」",ぬかるむ,,読みを入力してください,Text
時化る,しける,,読みを入力してください,Text
北叟笑む,ほくそえむ,,読みを入力してください,Text
輪姦す,まわす,,読みを入力してください,Text
武者振り付く,むしゃぶりつく,,読みを入力してください,Text
存知上げる,ぞんじあげる,,読みを入力してください,Text
我鳴る,がなる,,読みを入力してください,Text
老成る,ませる,,読みを入力してください,Text
感染る,うつる,,読みを入力してください,Text
含羞む,はにかむ,,読みを入力してください,Text
時雨れる,しぐれる,,読みを入力してください,Text
微笑う,わらう,,読みを入力してください,Text
泥濘る,ぬかる,,読みを入力してください,Text
野垂れ死ぬ,"のたれじぬ,のたれしぬ",,読みを入力してください,Text
