Question,Answers,Comment,Instructions,Render as
"__艶__めかしい","なま","艶 → JPDB Kanji Freq: 1789","漢字の読みを入力してください","Text"
"__貪__欲，__貪__食，__貪__婪","ドン","貪 → JPDB Kanji Freq: 2105","漢字の読みを入力してください","Text"
"__陵__
〔雅〕天皇・皇后の墓。御陵。山陵。","みささぎ","陵 → JPDB Kanji Freq: 2194","漢字の読みを入力してください","Text"
"柵
①まとわりついてはなれない〈状態／もの〉。
「人情の━」
②〔雅〕くいを打ちならべ、これに竹や木を横にゆわえつけて水の流れをとめる設備。","しがらみ","柵 → JPDB Kanji Freq: 2279","漢字の読みを入力してください","Text"
"__疎__む，__疎__ましい，__疎__い","うと","疎 → JPDB Kanji Freq: 1860","漢字の読みを入力してください","Text"
"__萎__れる
①〔草木などが〕弱って元気がなくなる。
「葉が━」
②元気をなくして、悲しそうにする。
「いやにしおれているね」","しお","萎 → JPDB Kanji Freq: 1841","漢字の読みを入力してください","Text"
"__繭__糸，蚕__繭__","ケン","繭 → JPDB Kanji Freq: 2490","漢字の読みを入力してください","Text"
"__摩__る
①（痛みがなくなるように）からだを、手で何度も軽くこする。
「背中を━」
②なでる。
「生地を━」","さす","摩 → JPDB Kanji Freq: 1562","漢字の読みを入力してください","Text"
"筆__墨__，白__墨__，遺__墨__","ボク","墨 → JPDB Kanji Freq: 1962","漢字の読みを入力してください","Text"
"__濁__声","だみ","濁 → JPDB Kanji Freq: 1748","漢字の読みを入力してください","Text"
"__弄__る
手でいじる。もてあそぶ。
「手先で━」","まさぐ","弄 → JPDB Kanji Freq: 1659","漢字の読みを入力してください","Text"
"__漁__り，__漁__る
〔雅〕漁(りょう)。漁師。
漁る｟他五｠。","すなど","漁 → JPDB Kanji Freq: 1705","漢字の読みを入力してください","Text"
"__蓋__し
〔文〕考えてみると。たしかに。
「━名言である」","けだ","蓋 → JPDB Kanji Freq: 1674","漢字の読みを入力してください","Text"
"甲__殻__，地__殻__","カク","殻 → JPDB Kanji Freq: 1811","漢字の読みを入力してください","Text"
"__挿__げる
さしこむ。はめこむ。また、穴に通して結びつける。「こけしの首を―げる」「げたの鼻緒を―げる」","す","挿 → JPDB Kanji Freq: 1700","漢字の読みを入力してください","Text"
"細__菌__，殺__菌__，保__菌__者","キン","菌 → JPDB Kanji Freq: 1876","漢字の読みを入力してください","Text"
"__骸__
〔文〕死体。なきがら。","むくろ","骸 → JPDB Kanji Freq: 1730","漢字の読みを入力してください","Text"
"__繊__細，__繊__維，化__繊__","セン","繊 → JPDB Kanji Freq: 1919","漢字の読みを入力してください","Text"
"__宰__領，__宰__相，主__宰__","サイ","宰 → JPDB Kanji Freq: 1823","漢字の読みを入力してください","Text"
"__崇__拝，__崇__高","スウ","崇 → JPDB Kanji Freq: 2080","漢字の読みを入力してください","Text"
"__戯__ける
あいきょうのある言い方や身ぶりで、ふざける。
「戯けたしぐさ」","おど","戯 → JPDB Kanji Freq: 1544","漢字の読みを入力してください","Text"
"__飢__餓，__飢__渇","キ","飢 → JPDB Kanji Freq: 2017","漢字の読みを入力してください","Text"
"__弄__う
〘五他〙いじる。もてあそぶ。さわる。","いら","弄 → JPDB Kanji Freq: 1659","漢字の読みを入力してください","Text"
"__垂__とする
まさにそうなろうとする。もう少しでなろうとしている。「百歳に―する老人」 「観客は五万に―する」
参考「なりなんとする」の転じたもの。","なんなん","垂 → JPDB Kanji Freq: 1398","漢字の読みを入力してください","Text"
"__著__く
〔文〕はっきり見えるようす。
「夜目にも━見える」","しる","著 → JPDB Kanji Freq: 1582","漢字の読みを入力してください","Text"
"__妬__く
嫉妬する。ねたむ。
「女房の━ほど亭主もてもせず」","や","妬 → JPDB Kanji Freq: 1545","漢字の読みを入力してください","Text"
"__塊__，一__塊__","かたまり","塊 → JPDB Kanji Freq: 1538","漢字の読みを入力してください","Text"
"__痩__ける
肉がおちる。
「ほおが━・やせ━」","こ","痩 → JPDB Kanji Freq: 1708","漢字の読みを入力してください","Text"
"__倫__理，人__倫__，絶__倫__","リン","倫 → JPDB Kanji Freq: 1736","漢字の読みを入力してください","Text"
"__潤__びる
｟自上一｠
〔水分をふくんで〕うるおう。やわらかになる。","ほと","潤 → JPDB Kanji Freq: 1651","漢字の読みを入力してください","Text"
"__網__，__網__戸","あみ","網 → JPDB Kanji Freq: 1611","漢字の読みを入力してください","Text"
"__舟__運，__舟__艇，__舟__航","シュウ","舟 → JPDB Kanji Freq: 1955","漢字の読みを入力してください","Text"
"__繁__吹く
①雨のまじった風が吹きつける。はげしい雨が降りしきる。「台風の雨が―く」
②しぶきが飛び散る。","し","繁 → JPDB Kanji Freq: 1601","漢字の読みを入力してください","Text"
"__鎖__す
〔文〕とじる。しめる。
「木戸を━」","さ","鎖 → JPDB Kanji Freq: 1406","漢字の読みを入力してください","Text"
"__凍__みる
［自上一］水などがこおりつく。また、寒気が厳しくて、こおるように感じる。
「雪が凍みる」「ひどく凍みる夜」","し","凍 → JPDB Kanji Freq: 1410","漢字の読みを入力してください","Text"
"__庶__民，__庶__務","ショ","庶 → JPDB Kanji Freq: 2043","漢字の読みを入力してください","Text"
"__寛__大，__寛__容，__寛__厳","カン","寛 → JPDB Kanji Freq: 1971","漢字の読みを入力してください","Text"
"__幽__し，__幽__き","かそけ","幽 → JPDB Kanji Freq: 1439","漢字の読みを入力してください","Text"
"__均__す・平す
①平らにする。
「土地を━」
②平均する。
「日数でならして計算する」","なら","均 → JPDB Kanji Freq: 1511","漢字の読みを入力してください","Text"
"__賢__しい","さか","賢 → JPDB Kanji Freq: 1341","漢字の読みを入力してください","Text"
"__狭__める，__狭__まる","せば","狭 → JPDB Kanji Freq: 1273","漢字の読みを入力してください","Text"
"__拒__む
求められても受け入れない気持ちをあらわす。ことわる。
「申し出を━・受け取りを━」","こば","拒 → JPDB Kanji Freq: 1337","漢字の読みを入力してください","Text"
"__塗__す","まぶ","塗 → JPDB Kanji Freq: 1355","漢字の読みを入力してください","Text"
"__藩__主，廃__藩__","ハン","藩 → JPDB Kanji Freq: 1693","漢字の読みを入力してください","Text"
"__逸__る
〔そのことをはやくしたくて〕興奮状態になる。
「━〔＝走り出そうと興奮する〕馬・━心をしずめる・〘野球〙打ち気に━」","はや","逸 → JPDB Kanji Freq: 1345","漢字の読みを入力してください","Text"
"__副__う，__副__える","そ","副 → JPDB Kanji Freq: 1151","漢字の読みを入力してください","Text"
"好__餌__，食__餌__","ジ","餌 → JPDB Kanji Freq: 1684","漢字の読みを入力してください","Text"
"__如__く
およぶ。匹敵する。下に打ち消しや反語を伴う。「これに―くものはなし」","し","如 → JPDB Kanji Freq: 1119","漢字の読みを入力してください","Text"
"__塞__く・堰く，__塞__き止める
〔流れなどを〕さえぎり止める。
「今まで心地よく流れていた談話が急に塞き止められた」
「伝染病の蔓延を━」","せ","塞 → JPDB Kanji Freq: 1319","漢字の読みを入力してください","Text"
"__革__，__革__靴","かわ","革 → JPDB Kanji Freq: 1347","漢字の読みを入力してください","Text"
"__績__む
〔古風〕麻・苧麻などの繊維をより合わせて糸にする。糸をよる。
「麻を績む」","う","績 → JPDB Kanji Freq: 1216","漢字の読みを入力してください","Text"
"__仰__け反る","の","仰 → JPDB Kanji Freq: 1176","漢字の読みを入力してください","Text"
"__須__臾，__須__要
短い時間。しばらくの間。ほんの少しの間。","シュ","須 → JPDB Kanji Freq: 1503","漢字の読みを入力してください","Text"
"__侍__る
〔身分の高い人の〕そばにひかえている。
「客の席に━・美女を侍らせる」","はべ","侍 → JPDB Kanji Freq: 1374","漢字の読みを入力してください","Text"
"__滑__る
〘五自〙濡れてぬるぬるとすべる。ぬらぬらする。","ぬめ","滑 → JPDB Kanji Freq: 1228","漢字の読みを入力してください","Text"
"宣う
①〔文〕「言う」の尊敬語。おっしゃる。
「わが師の━には…」
②「言う」の、皮肉やからかいをこめた言い方。
「むすこは平然とそうのたまった」","のたま","宣 → JPDB Kanji Freq: 1224","漢字の読みを入力してください","Text"
"__泥__む｟自五｠
〔文〕①こだわる。ひっかかる。
「旧習に━」
②さまたげられて進まない。とどこおる。☞暮れなずむ。
③なれ親しむ。なじむ。","なず","泥 → JPDB Kanji Freq: 1329","漢字の読みを入力してください","Text"
"__塗__れる","まみ","塗 → JPDB Kanji Freq: 1355","漢字の読みを入力してください","Text"
"__丘__陵，砂__丘__","キュウ","丘 → JPDB Kanji Freq: 1525","漢字の読みを入力してください","Text"
"__埋__ける〔古風〕
①炭火を（灰の中に）うめる。
②地面にうめ（て立て）る。","い","埋 → JPDB Kanji Freq: 1108","漢字の読みを入力してください","Text"
"__則__る
〔文〕法則・手本としてしたがう。
「故実に━・先例に━」","のっと","則 → JPDB Kanji Freq: 1290","漢字の読みを入力してください","Text"
"秀__峰__，霊__峰__，連__峰__","ホウ","峰 → JPDB Kanji Freq: 1669","漢字の読みを入力してください","Text"
"__琴__線，木__琴__，手風__琴__","キン","琴 → JPDB Kanji Freq: 1670","漢字の読みを入力してください","Text"
"__随__に","まにま","随 → JPDB Kanji Freq: 1109","漢字の読みを入力してください","Text"
"__畳__語，重__畳__","ジョウ","畳 → JPDB Kanji Freq: 1648","漢字の読みを入力してください","Text"
"__奉__行","ブ","奉 → JPDB Kanji Freq: 1549","漢字の読みを入力してください","Text"
"__岸__，向こう__岸__","きし","岸 → JPDB Kanji Freq: 1352","漢字の読みを入力してください","Text"
"__諸__々","もろ","諸 → JPDB Kanji Freq: 1261","漢字の読みを入力してください","Text"
"__徹__す","とお","徹 → JPDB Kanji Freq: 1338","漢字の読みを入力してください","Text"
"__郷__士，近__郷__，在__郷__","ゴウ","郷 → JPDB Kanji Freq: 1223","漢字の読みを入力してください","Text"
"__焦__れる，__焦__らす
不安に思って心がせく。いらだつ。","じ","焦 → JPDB Kanji Freq: 981","漢字の読みを入力してください","Text"
"__魚__，__魚__市場","うお","魚 → JPDB Kanji Freq: 931","漢字の読みを入力してください","Text"
"吹き__荒__ぶ，__荒__ぶ","すさ","荒 → JPDB Kanji Freq: 893","漢字の読みを入力してください","Text"
"__屈__める，__屈__む
①かがんだ状態にする。
「身を━・腰を━」
②腰やひざを折り曲げて低い姿勢をとる。
「ひざを━」","かが","屈 → JPDB Kanji Freq: 1021","漢字の読みを入力してください","Text"
"濡れ__衣__，濡れ__衣__を着せる","きぬ","衣 → JPDB Kanji Freq: 855","漢字の読みを入力してください","Text"
"一__枚__・一__片__
〔文〕平らでうすく、かろやかなもの〈一つ／一枚〉。
「━の雲・━の花びら」","ひとひら,ひら","枚 → JPDB Kanji Freq: 811","漢字の読みを入力してください","Text"
"__包__まる","くる","包 → JPDB Kanji Freq: 838","漢字の読みを入力してください","Text"
