Question,Answers,Comment,Freq,Instructions,Render as
__虞__，__虞__がある,おそれ,"［虞］凖二級
音: グ 訓: おそれ
意味: 先のことをあれこれと考える。
先のことに気をめぐらして心配する。
周代(前11世紀～前256年)の始めに設けられた山や沢(さわ)の草木・鳥獣を管理する官職名。
古朝名、舜シュン(五帝の一人)の代にあったとされる、現山西省運城市平陸県付近{山西省}
騶虞(スウグ)、獣名、姿は虎に似て体は白く黒い紋があり尾が長いという、「騶」参照",虞 → JPDB Kanji Freq: 3409,漢字の読みを入力してください,Text
"__畝__，__畝__間，__畝__織
畑の中に、細長く土をもりあげて作物を植えつける所。",うね,"［畝］凖二級
音: ボウ／ム／モ／ホ 訓: せ／うね
意味: 種や苗を植えるために筋状に土を盛り上げたところ、畎畝(ケンポ)(田畑の筋状の溝と畝、田畑、田舎いなか)」。
田畑の面積の単位、史料により異同がある、古くは1畝=100歩であったが、今(唐代の頃)は1畝=240歩。",畝 → JPDB Kanji Freq: 3334,漢字の読みを入力してください,Text
"__倹__しい
ぜいたくをせず、質素だ。「━暮らし」",つま,"［倹］三級
音: ケン／ゲン 訓: 
意味: 度を超(こ)えずに控え目にする、儉約(ケンヤク)。
不要な部分を省略して必要な部分だけを残す、無駄がないように簡素にする。",倹 → JPDB Kanji Freq: 3282,漢字の読みを入力してください,Text
__恣__にする，__恣__,ほしいまま,"［恣］二級
音: シ 訓: ほしいまま
意味: 気儘(きまま)なさま、思いのままにするさま、自分勝手なさま、またそのような振る舞い。
恣睢(シスイ)、思うがままに振る舞うさま、自分勝手に振る舞うさま。",恣 → JPDB Kanji Freq: 3273,漢字の読みを入力してください,Text
"__詔__，__詔__をたまわる
〔文〕天皇が正式にのべたことば。",みことのり,"［詔］凖二級
音: ショウ 訓: みことのり
意味: 上位者が下位者を近くに呼び寄せて告(つ)げる、またその言葉。
助言する、教え導(みちび)く。
天子の命令、古くは「上位者が下位者に告げる」の意だったが、秦代・漢代(前221年～220年)以降は「天子のお告げ」のみを指すことになった。",詔 → JPDB Kanji Freq: 3259,漢字の読みを入力してください,Text
"__堆__い
積み上がって**高い**。
「灰が堆く積もる・━書類の山」",うずたか,"［堆］二級
音: タイ／テ／ツイ 訓: うずたか・い
意味: (土などが)積み重なる、(土などを)積み上げる、山のように積み上がる、同「㕍」。
こんもりと盛り上がった地形、(「𨸏」よりも低く小さい)小高い丘。",堆 → JPDB Kanji Freq: 3094,漢字の読みを入力してください,Text
身__罷__る，__罷__り通る，__罷__り越す，__罷__り出る,まか,"［罷］凖二級
音: ハイ／ベ／ヒ／ビ 訓: まか・る
意味: (有能な人が網(网)にかかり)力が出ない、疲れる。
(力を発揮できずに)途中で止(や)める、停(と)まる。
役目や拘束を解(と)く、職や罪を免(めん)ずる。
日まか・る、退く。",罷 → JPDB Kanji Freq: 3059,漢字の読みを入力してください,Text
"__諮__る
相談をもちかけて、意見を聞く。
「委員会に諮る。」「会議に━・みなさんにお諮りいたします」",はか,"［諮］三級
音: シ 訓: はか・る
意味: 上位者が下位者に意見や助言を求める、同「咨」、諮問(シモン)。",諮 → JPDB Kanji Freq: 3033,漢字の読みを入力してください,Text
"__毀__つ，__毀__れる
〔雅〕こわす。くずす。",こぼ,"［毀］二級
音: キ 訓: こわ・す／こわ・れる／こぼ・つ
意味: 壊(こわ)す、壊れる、破(やぶ)る、破れる、欠ける、傷付ける、損(そこ)なう。
謗(そし)る、人を悪く言う、悪意を持ってあれこれと言い立てる。
悲しみや心労で衰弱する、体を壊す。",毀 → JPDB Kanji Freq: 2953,漢字の読みを入力してください,Text
"__鋳__る，__鋳__物，__鋳__型
金属をとかし、型に流しこんで物をつくる。",い,"［鋳］三級
音: チュウ／シュ／ス 訓: い・る
意味: 金属を溶かし型に流し入れて目的の形に造る、鋳造(チュウゾウ)。
目的の形に(型通りに)作り上げる。",鋳 → JPDB Kanji Freq: 2909,漢字の読みを入力してください,Text
__升__，__升__目,ます,"［升］凖二級
音: ショウ 訓: ます
意味: 容量の単位、1升=10合{各種単位}。
容量を量る枡(ます)。
布の経糸(たていと)の数の単位、【西京雜記】によれば1升=2䌰=10絲(10本)、【儀禮】によれば1升=80縷、いずれも布幅が示されていない。
昇(のぼ)る、上の方向に行く、同「昇」。
登(のぼ)る、高い方(上の方)に進む、同「登」「陞」。
穀物が実る、また熟す、同「登」。",升 → JPDB Kanji Freq: 2876,漢字の読みを入力してください,Text
__蚕__，__蚕__日待ち,かいこ,"［蚕］五級
音: サン／ゾン 訓: かいこ
意味: 蜸蚕(ケンサン)、ミミズ蚯蚓、環形動物門貧毛綱に属する動物の総称。
カイコ蚕、カイコガ科カイコガ属の昆虫の幼虫、同「蠶」。
繁「蠶」、「蚕」は「蠶」の俗字。",蚕 → JPDB Kanji Freq: 2861,漢字の読みを入力してください,Text
__窯__，石__窯__，ピザ__窯__，登り__窯__,かま,"［窯］凖二級
音: ヨウ 訓: かま
意味: 陶器トウキや煉瓦レンガを焼くための土などで囲った穴。",窯 → JPDB Kanji Freq: 2798,漢字の読みを入力してください,Text
__且__つ,か,"［且］凖二級
音: シャ／ショ／ソ 訓: か・つ
意味: ～と同時に、その上に、更に。
ひとまず、取り敢えず、間に合わせに。
将(まさ)に～せんとす、今にも～しようとする。",且 → JPDB Kanji Freq: 2792,漢字の読みを入力してください,Text
__濫__り，__濫__りがわしい，__濫__りがましい,みだ,"［濫］三級
音: ラン 訓: みだ・り／みだ・りに
意味: 水が一面に満ちて溢(あふ)れる、水が(堰や堤を越えて)外に溢(あふ)れ出る、同「灠」。
度を越えて、無闇(むやみ)に、勝手気ままな、「堰や堤のような限度や限界を越えれば制御できない、そのような振る舞い」の意。",濫 → JPDB Kanji Freq: 2741,漢字の読みを入力してください,Text
