Question,Answers,Comment,Freq,Instructions,Render as
__楷__書,カイ,"［楷］二級
音: カイ／ケ 訓: 
意味: 楷木(カイボク)、楷樹(カイジュ)、カイノキ楷樹、ウルシ科カイノキ属の木、孔子コウシの弟子子貢トコウが孔子の墓に植えたとされる木、別名「ランシンボク爛心木・オウレンボク黃連木」{ランシンボク}。
世代・時代を越えて基準となる手本、倣(なら)うべき手本。
、楷書(カイショ)、漢字の書体の一つ、文字(漢字)の標準的な書体。",楷 → JPDB Kanji Freq: 3921,漢字の読みを入力してください,Text
__塑__像，彫__塑__，可__塑__性,ソ,"［塑］凖二級
音: ソ／ス 訓: 
意味: 粘土などで物の形を作る、またそれで作った像ゾウ、塑像(ソゾウ)。
軟らかく容易に変形させることができ、且つ大きな力を加えるなどをしなければそのままの状態を保つことができる性質のもの、塑性(ソセイ)。",塑 → JPDB Kanji Freq: 3855,漢字の読みを入力してください,Text
__頒__布，__頒__価,ハン,"［頒］凖二級
音: ハン／ヘン／フン／ブン 訓: わけ・る／わか・つ
意味: (多くの人に)分け与える、分賜(ブンシ)する、分配する、配布する、同「攽」。
多くの人に広める、広く行き亘(わた)らせる。
頭が大きいさま。
鬢(ビン)、顔の側面の耳際の髪。",頒 → JPDB Kanji Freq: 3638,漢字の読みを入力してください,Text
__逓__信，__逓__送，__逓__減,テイ,"［逓］凖二級
音: テイ／ダイ 訓: 
意味: 次へ次へと、代わる代わるに、次々に、順々に、順繰り(じゅんぐり)に、同「𨔛」。
次第に、だんだんに。",逓 → JPDB Kanji Freq: 3580,漢字の読みを入力してください,Text
__謄__写，__謄__本,トウ,"［謄］凖二級
音: トウ／ドウ 訓: 
意味: 書き写す、原本を他のものに書き写す。",謄 → JPDB Kanji Freq: 3481,漢字の読みを入力してください,Text
禁__錮__，党__錮__,コ,"［錮］二級
音: コ／ク 訓: 
意味: 隙間に溶かした金属を流し込んで塞(ふさ)ぐ、鋳掛(いか)ける。
堅く塞ぎ閉じ込める、禁錮(キンコ)。
堅固な、凝り固まった。",錮 → JPDB Kanji Freq: 3462,漢字の読みを入力してください,Text
__斤__量，斧__斤__,キン,"［斤］三級
音: キン／コン 訓: 
意味: 斧(おの、振り下ろして物を切る重い刃の付いた道具)や手斧(ちょうな、切り出した木から不要な枝を切り落としたり皮を削り落としたりする道具)の類、斧である程度の形にまで粗削りする、同「釿」。
重さの単位、1斤＝16両{各種単位}。
斤斤(キンキン)、細かく調べる。
きん、おの、おのづくり、部首名。",斤 → JPDB Kanji Freq: 3433,漢字の読みを入力してください,Text
定__款__，借__款__，落__款__,カン,"［款］凖二級
音: カン 訓: 
意味: 誠実なさま、真心(まごころ)がこもっているさま。
鐘ショウ(かね)や鼎(テイ、かなえ)などの器物に彫り込まれた文字、款識(カンシキ・カンシ)。
書画に書き込まれた題目や作者などの文字、落款(ラッカン)。
文書や法律の箇条カジョウ(条項・条目・項目)、また箇条にした文書。
叩(たた)く、款門(カンモン)(門を叩く)」。
金(かね)、、現款(ゲンカン)(現金)」、税款(セイカン・ゼイカン)(税金)」。",款 → JPDB Kanji Freq: 3415,漢字の読みを入力してください,Text
__丙__種，甲乙__丙__,ヘイ,"［丙］凖二級
音: ヘイ／ヒョウ 訓: ひのえ
意味: ひのえ、十干ジッカン(甲・乙・丙・丁・戊・己・庚・辛・壬・癸)の三番目、五行で「丁」と共に「火」「南」を意味する{十干}。
三、第三、三番目。",丙 → JPDB Kanji Freq: 3370,漢字の読みを入力してください,Text
肥__沃__，__沃__野,ヨク,"［沃］二級
音: オク／ヨク 訓: 
意味: 水を掛ける、水を
潤(うるお)す、潤う。
土が柔らかく肥えている。",沃 → JPDB Kanji Freq: 3344,漢字の読みを入力してください,Text
俳__諧__，__諧__調,カイ,"［諧］二級
音: カイ／ゲ 訓: 
意味: 和(なご)やかなさま、穏(おだ)やかなさま。
和やかに談笑する、場を和(なご)ませるような冗談を言う、同「詼」。
調子が合う、調和する、同「龤」。",諧 → JPDB Kanji Freq: 3341,漢字の読みを入力してください,Text
弾__劾__，__劾__奏,ガイ,"［劾］凖二級
音: カイ／ガイ 訓: 
意味: 罪を究明キュウメイする、罪状ザイジョウを明らかにする。",劾 → JPDB Kanji Freq: 3323,漢字の読みを入力してください,Text
__酪__農，乾__酪__,ラク,"［酪］凖二級
音: ラク 訓: 
意味: 牛や羊などの乳に熱を加え攪拌し、冷めるのを待って表面にできたもの(「酥」という)を取り除いて発酵させたもの、またそれを固化させたバターbutterやチーズcheeseなどの乳製品。
果物などのゼリーjelly、ゼリー状の食べ物",酪 → JPDB Kanji Freq: 3284,漢字の読みを入力してください,Text
__倹__約，節__倹__，勤__倹__,ケン,"［倹］三級
音: ケン／ゲン 訓: 
意味: 度を超(こ)えずに控え目にする、儉約(ケンヤク)。
不要な部分を省略して必要な部分だけを残す、無駄がないように簡素にする。",倹 → JPDB Kanji Freq: 3282,漢字の読みを入力してください,Text
__恣__意的，放__恣__,シ,"［恣］二級
音: シ 訓: ほしいまま
意味: 気儘(きまま)なさま、思いのままにするさま、自分勝手なさま、またそのような振る舞い。
恣睢(シスイ)、思うがままに振る舞うさま、自分勝手に振る舞うさま。",恣 → JPDB Kanji Freq: 3273,漢字の読みを入力してください,Text
__詔__勅，__詔__書,ショウ,"［詔］凖二級
音: ショウ 訓: みことのり
意味: 上位者が下位者を近くに呼び寄せて告(つ)げる、またその言葉。
助言する、教え導(みちび)く。
天子の命令、古くは「上位者が下位者に告げる」の意だったが、秦代・漢代(前221年～220年)以降は「天子のお告げ」のみを指すことになった。",詔 → JPDB Kanji Freq: 3259,漢字の読みを入力してください,Text
御__璽__，国__璽__,ジ,"［璽］凖二級
音: シ／ジ 訓: しるし
意味: 天子や諸侯の印鑑、後に天子の印鑑。
天子であることの印(しるし)。",璽 → JPDB Kanji Freq: 3228,漢字の読みを入力してください,Text
__衷__心，__微__衷，折__衷__，苦__衷__,チュウ,"［衷］凖二級
音: チュウ 訓: 
意味: 上着の下(内側)に着る衣服。
衣服を着る、(体を)包む。
包まれて外からは見えない内側、内面、中身なかみ。
心の中、真心シンシン(まごころ)、本心ホンシン。
偏(かたよ)らない、程良い、中程(なかほど)の、折衷・折中(セッチュウ)(程良いところで折り合いをつけること)」。",衷 → JPDB Kanji Freq: 3220,漢字の読みを入力してください,Text
__陪__席，__陪__食，__陪__審,バイ,"［陪］三級
音: ハイ／ベ／バイ 訓: 
意味: 土を盛る、(養分を与え生育を助けるために植物の根元に)土を重ね盛る、同「培」。
人の傍に付き従う、供(とも)をする。
主人に傍に仕える家臣カシン。",陪 → JPDB Kanji Freq: 3217,漢字の読みを入力してください,Text
種__痘__，水__痘__，天然__痘__,トウ,"［痘］三級
音: トウ／ズ 訓: もがさ
意味: 皮膚に豆粒大の水膨れ(みずぶくれ、水疱スイホウ)ができる病気、またその水膨れ。
痘瘡(トウソウ)、天然痘テンネントウ、中国では、天花(テンカ)、天然痘ウイルスにる感染症、発症すると水疱ができ、膿疱ノウホウ(水疱が化膿したもの)化し、治癒チユ後も痕(あと)が残る、この痕を、痘痕(トウコン)という。
、水痘(スイトウ)、水疱瘡(みずボウソウ)、多く小児が罹(かか)る伝染病、全身に発疹ハッシン・ホッシン・水疱ができる。",痘 → JPDB Kanji Freq: 3202,漢字の読みを入力してください,Text
__訃__報，__訃__告,フ,"［訃］二級
音: フ 訓: 
意味: 人の死を急ぎ知らせる、同「赴」。
人の死の知らせ。",訃 → JPDB Kanji Freq: 3200,漢字の読みを入力してください,Text
__儒__学，__儒__教，__儒__者,ジュ,"［儒］凖二級
音: ジュ／ニュウ 訓: 
意味: 天地人に通じた学者、人に進むべき道を説き導く人。
孔子の教え、またそれを教授する人。",儒 → JPDB Kanji Freq: 3155,漢字の読みを入力してください,Text
更__迭__,テツ,"［迭］凖二級
音: テツ／デチ 訓: 
意味: (位や任務を)代わる、抜けて空いたところに入る。
入れ替わりに、代わる代わるに。
滑(すべ)る、滑(なめら)らか、同「达」。",迭 → JPDB Kanji Freq: 3154,漢字の読みを入力してください,Text
__抄__録，__抄__本，__抄__訳,ショウ,"［抄］凖二級
音: ソウ／ショウ 訓: す・く
意味: (さっと)奪い取る、掠(かす)め取る、盗み取る、同「鈔」。
(さっと)掬(すく)い取る、掬い上げる、同「鈔」「摷」。
書き写す、謄写トウシャする、同「鈔」、抄本(ショウホン)。
一部分だけを選び書き写す、またそれを一つに纏(まと)めた書物、同「鈔」。
容量の単位、1合=10勺、1勺＝10撮、1撮＝10抄。
日紙を漉(す)く。",抄 → JPDB Kanji Freq: 3151,漢字の読みを入力してください,Text
開__墾__，未__墾__,コン,"［墾］三級
音: コン 訓: 
意味: 荒れ地を田畑にするために(新たな田畑を切り開くために)耕す。",墾 → JPDB Kanji Freq: 3144,漢字の読みを入力してください,Text
__遵__守，__遵__法,ジュン,"［遵］三級
音: シュン／ジュン 訓: したが・う
意味: 歩むべき道筋に沿って行く、先例や決まりなどの頼(たよ)りとすべきものに従う。",遵 → JPDB Kanji Freq: 3127,漢字の読みを入力してください,Text
__嘱__託，委__嘱__,ショク,"［嘱］三級
音: ショク／ソク 訓: 
意味: (自分の希望を他に、後々のことを他に)託(たく)す、頼(たの)む、同「属」、嘱託(ショクタク)(託す、頼む)」。
付ける、寄せる、、嘱咐(ショクフ)(～しなさいと言い付ける)」、嘱望(ショクボウ)(期待を寄せる)」。",嘱 → JPDB Kanji Freq: 3100,漢字の読みを入力してください,Text
憧__憬__，__憬__悟,ケイ,"［憬］二級
音: ケイ／キョウ 訓: あこが・れる
意味: 目覚める、はっきりと悟(さと)る、憬然(ケイゼン)。
遠いさま、遠く離れたものを思うさま。
憧憬(ショウケイ・ドウケイ)、遠く離れたものにあれこれと思いを巡(めぐ)らす。",憬 → JPDB Kanji Freq: 3099,漢字の読みを入力してください,Text
__堆__積，__堆__肥,タイ,"［堆］二級
音: タイ／テ／ツイ 訓: うずたか・い
意味: (土などが)積み重なる、(土などを)積み上げる、山のように積み上がる、同「㕍」。
こんもりと盛り上がった地形、(「𨸏」よりも低く小さい)小高い丘。",堆 → JPDB Kanji Freq: 3094,漢字の読みを入力してください,Text
__租__税，公__租__公課,ソ,"［租］凖二級
音: ソ／ス 訓: 
意味: 年貢、支配者に納める田畑などからの収穫物。
古代の税(租・庸・調)の一つで穀物などの収穫物、庸(ヨウ)は労役、調(チョウ)は穀物以外の布などの現物。
金銭を払って借りる。",租 → JPDB Kanji Freq: 3092,漢字の読みを入力してください,Text
__氾__濫，__氾__論,ハン,"［氾］二級
音: ハン／ホン 訓: 
意味: 溢(あふ)れ出た水が一面に広がり覆(おお)う、氾濫(ハンラン)、同「泛」。
一面に広がる、広く隅々まで行き渡る、同「汎」「泛」。",氾 → JPDB Kanji Freq: 3066,漢字の読みを入力してください,Text
__罷__業，__罷__免,ヒ,"［罷］凖二級
音: ハイ／ベ／ヒ／ビ 訓: まか・る
意味: (有能な人が網(网)にかかり)力が出ない、疲れる。
(力を発揮できずに)途中で止(や)める、停(と)まる。
役目や拘束を解(と)く、職や罪を免(めん)ずる。
日まか・る、退く。",罷 → JPDB Kanji Freq: 3059,漢字の読みを入力してください,Text
__諮__問，__諮__詢,シ,"［諮］三級
音: シ 訓: はか・る
意味: 上位者が下位者に意見や助言を求める、同「咨」、諮問(シモン)。",諮 → JPDB Kanji Freq: 3033,漢字の読みを入力してください,Text
