Question,Answers,Comment,Instructions,Render as
"甲（木の兄）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",きのえ,木,"読み方をご入力ください",Text
"乙（木の弟）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",きのと,木,"読み方をご入力ください",Text
"丙（火の兄）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",ひのえ,火,"読み方をご入力ください",Text
"丁（火の弟）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",ひのと,火,"読み方をご入力ください",Text
"戊（土の兄）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",つちのえ,土,"読み方をご入力ください",Text
"己（土の弟）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",つちのと,土,"読み方をご入力ください",Text
"庚（金の兄）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",かのえ,金,"読み方をご入力ください",Text
"辛（金の弟）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",かのと,金,"読み方をご入力ください",Text
"壬（水の兄）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",みずのえ,水,"読み方をご入力ください",Text
"癸（水の弟）
陽（兄 = え）| 陰（弟 = と）→ ☯️（陰陽）",みずのと,水,"読み方をご入力ください",Text
子 🐭,ね,北 | 冬／始まり、成長の萌芽,読み方をご入力ください,Text
丑 🐮,うし,北北東 | 冬、蓄積／潜伏,読み方をご入力ください,Text
寅 🐯,とら,東北東 | 春、勢い／成長,読み方をご入力ください,Text
卯 🐰,う,東 | 春、穏やかさ／調和,読み方をご入力ください,Text
辰 🐲,たつ,東南東 | 移り変わり／変化,読み方をご入力ください,Text
巳 🐍,み,南南東 | 探求／強まり,読み方をご入力ください,Text
午 🐴,うま,南 | 明瞭さ／活動,読み方をご入力ください,Text
未 🐐,ひつじ,南南西 | 協力／成熟,読み方をご入力ください,Text
申 🐵,さる,西南西 | 技能／変容,読み方をご入力ください,Text
酉 🐔,とり,西 | 洗練／伝承,読み方をご入力ください,Text
戌 🐶,いぬ,西北西 | 保護／忠誠,読み方をご入力ください,Text
亥 🐷,い,北北西 | 完成／休眠,読み方をご入力ください,Text
