Question,Answers,Comment,Instructions,Render as
孩提 (2-3歳),がいてい,2-3歳,読みを入力してください,Text
幼学 (10歳),ようがく,10歳,読みを入力してください,Text
辻髪 (10歳位),つじかみ,10歳位,読みを入力してください,Text
志学 (15歳・男性)「論語」,しがく,15歳（男性）,読みを入力してください,Text
笄年 (15歳・女性),けいねん,15歳（女性）,読みを入力してください,Text
破瓜 (16歳・女性),はか,16歳（女性）,読みを入力してください,Text
二十路 (20歳),ふたそじ,20歳,読みを入力してください,Text
二十歳 (20歳),はたち,20歳,読みを入力してください,Text
弱冠 (20歳・男性),じゃっかん,20歳（男性）,読みを入力してください,Text
丁年 (満20歳・男性),ていねん,満20歳（男性）,読みを入力してください,Text
壮年 (30歳-50代前半),そうねん,30歳-50代前半,読みを入力してください,Text
三十路 (30歳),みそじ,30歳,読みを入力してください,Text
壮室 (30歳・男性),そうしつ,30歳（男性）,読みを入力してください,Text
年壮 (30歳・男性),ねんそう,30歳（男性）,読みを入力してください,Text
而立 (30歳・男性)「論語」,じりつ,30歳（男性）,読みを入力してください,Text
立年 (30歳・男性),りゅうねん,30歳（男性）,読みを入力してください,Text
四十路 (40歳),よそじ,40歳,読みを入力してください,Text
初老 (40歳),しょろう,40歳,読みを入力してください,Text
不惑 (40歳・男性)「論語」,ふわく,40歳（男性）,読みを入力してください,Text
強仕 (40歳・男性),きょうし,40歳（男性）,読みを入力してください,Text
桑年 (48歳),そうねん,48歳,読みを入力してください,Text
五十路 (50歳),いそじ,50歳,読みを入力してください,Text
五十算 (50歳),ごじっさん,50歳,読みを入力してください,Text
中老 (50歳),ちゅうろう,50歳,読みを入力してください,Text
知命 (50歳・男性)「論語」,ちめい,50歳（男性）,読みを入力してください,Text
天命 (50歳・男性),てんめい,50歳（男性）,読みを入力してください,Text
艾年 (50歳),がいねん,50歳,読みを入力してください,Text
艾服 (50歳),がいふく,50歳,読みを入力してください,Text
杖家 (50歳),じょうか,50歳,読みを入力してください,Text
六十路 (60歳),むそじ,60歳,読みを入力してください,Text
耳順 (60歳・男性)「論語」,じじゅん,60歳（男性）,読みを入力してください,Text
杖郷 (60歳),じょうきょう,60歳,読みを入力してください,Text
杖者 (60歳),じょうしゃ,60歳,読みを入力してください,Text
本卦還り (60歳),ほんけがえり,60歳,読みを入力してください,Text
下寿 (60歳),かじゅ,60歳,読みを入力してください,Text
還暦 (61歳),かんれき,61歳,読みを入力してください,Text
華甲 (61歳),かこう,61歳,読みを入力してください,Text
華寿 (61歳),かじゅ,61歳,読みを入力してください,Text
華年 (61歳),かねん,61歳,読みを入力してください,Text
破瓜 (64歳・男性),はか,64歳（男性）,読みを入力してください,Text
七十路 (70歳),ななそじ,70歳,読みを入力してください,Text
古希，古稀 (70歳),こき,70歳,読みを入力してください,Text
従心 (70歳・男性)「論語」,じゅうしん,70歳（男性）,読みを入力してください,Text
踰矩 (70歳),ゆく,70歳,読みを入力してください,Text
杖国 (70歳・男性),じょうこく,70歳（男性）,読みを入力してください,Text
七秩 (70歳),しちちつ,70歳,読みを入力してください,Text
七旬 (70歳),しちじゅん,70歳,読みを入力してください,Text
致仕 (70歳),ちし,70歳,読みを入力してください,Text
懸車 (70歳),けんしゃ,70歳,読みを入力してください,Text
喜寿 (77歳),きじゅ,77歳,読みを入力してください,Text
八十路 (80歳),やそじ,80歳,読みを入力してください,Text
傘寿 (80歳),さんじゅ,80歳,読みを入力してください,Text
杖朝 (80歳・男性),じょうちょう,80歳（男性）,読みを入力してください,Text
中寿 (80歳),ちゅうじゅ,80歳,読みを入力してください,Text
八秩 (80歳),はっちつ,80歳,読みを入力してください,Text
半寿 (81歳),はんじゅ,81歳,読みを入力してください,Text
盤寿 (81歳),ばんじゅ,81歳,読みを入力してください,Text
漆寿 (81歳),しつじゅ,81歳,読みを入力してください,Text
米寿 (88歳),べいじゅ,88歳,読みを入力してください,Text
九十路 (90歳),ここのそじ,90歳,読みを入力してください,Text
卒寿 (90歳),そつじゅ,90歳,読みを入力してください,Text
鳩寿 (90歳),きゅうじゅ,90歳,読みを入力してください,Text
白寿 (99歳),はくじゅ,99歳,読みを入力してください,Text
百寿 (100歳),ひゃくじゅ,100歳,読みを入力してください,Text
紀寿 (100歳),きじゅ,100歳,読みを入力してください,Text
上寿 (100歳),じょうじゅ,100歳,読みを入力してください,Text
期頤 (100歳),きい,100歳,読みを入力してください,Text
茶寿 (108歳),ちゃじゅ,108歳,読みを入力してください,Text
皇寿 (111歳),こうじゅ,111歳,読みを入力してください,Text
川寿 (111歳),せんじゅ,111歳,読みを入力してください,Text
頑寿 (119歳),がんじゅ,119歳,読みを入力してください,Text
昔寿 (120歳),せきじゅ,120歳,読みを入力してください,Text
大還暦 (120歳),だいかんれき,120歳,読みを入力してください,Text
