Question,Answers
"面倒
「目」に「だくな〔＝むだ〕」がついた名詞「目だくな」から「目だうな」→「面倒（な）」となった。",めんどう
普段,ふだん
無駄,むだ
馬鹿,ばか
味方,みかた
素敵,すてき
怪我,けが
試合,しあい
無茶,むちゃ
布団,ふとん
充分,じゅうぶん
無理矢理,むりやり
可哀想,かわいそう
思惑,おもわく
堪能,たんのう
十一,じゅういち
丁度,ちょうど
缶,かん
無茶苦茶,むちゃくちゃ
滅茶苦茶,めちゃくちゃ
呑気,のんき
野暮,やぼ
阿呆,あほ
野次馬,やじうま
寿司,すし
見世物,みせもの
無闇,むやみ
見栄,みえ
滅多,めった
背広,せびろ
甘味,あまみ
暢気,のんき
旨味,うまみ
垢,アカ
呉,ご
可哀相,かわいそう
野良,のら
薄目,うすめ
甲羅,こうら
威,おどし
苦味,にがみ
出鱈目,でたらめ
深,み
美,み
無鉄砲,むてっぽう
弱味,よわみ
色味,いろみ
有耶無耶,うやむや
倶楽部,クラブ
漆喰,しっくい
徳利,とっくり
啖呵,たんか
面白味,おもしろみ
御存知,ごぞんじ
詮,せん
野次,やじ
囲炉裏,いろり
満更,まんざら
凄味,すごみ
毒味,どくみ
愚図,ぐず
面妖,めんよう
無暗,むやみ
田圃,たんぼ
浪漫,ろうまん
奇天烈,きてれつ
仕合,しあい
中味,なかみ
朋輩,ほうばい
押忍,"おっす,おす"
判子,はんこ
赤味,あかみ
呆気，__呆気__ない,あっけ
印度,インド
野放図,のほうず
浅黄,あさぎ
恵比寿,えびす
厨二病,ちゅうにびょう
釦,ボタン
村雨,むらさめ
妻君,さいくん
碌，__碌__な，__碌__に,ろく
切支丹,キリシタン
腕白,わんぱく
見得,みえ
与太,よた
雨合羽,あまガッパ
付喪神,つくもがみ
苦無,くない
目茶苦茶,めちゃくちゃ
羅紗,ラシャ
屹度,きっと
枚,びら
強味,つよみ
亜米利加,アメリカ
美事,みごと
七面倒，__七面倒__臭い,しちめんどう
基督教,キリストきょう
真逆,まさか
我武者羅,がむしゃら
弥次馬,やじうま
天麩羅,てんぷら
頓珍漢,とんちんかん
愚連隊,ぐれんたい
愚図愚図,ぐずぐず
哩,マイル
滅茶滅茶,めちゃめちゃ
数寄,すき
不貞寝,ふてね
刀自,"とうじ,とじ"
青味,あおみ
大喜利,おおぎり
矢鱈,やたら
空蝉,うつせみ
仇名,あだな
行衛,ゆくえ
矢来,やらい
毒味役,どくみやく
細目,ほそめ
無闇矢鱈,むやみやたら
拠出,きょしゅつ
如雨露,じょうろ
弥次,やじ
弗,ドル
鑵,かん
雲井,くもい
素寒貧,すかんぴん
枇杷,びわ
夜露死苦,よろしく
不図,ふと
滅茶,めちゃ
糎,サンチ
吋,インチ
介添,かいぞえ
存知,ぞんじ
黄味,きみ
米,メートル
珈琲豆,コーヒーまめ
住居,すまい
披露目,ひろめ
重味,おもみ
噸,トン
高見,たかみ
恰度,ちょうど
一図,いちず
和蘭,オランダ
詮方,せんかた
辛棒,しんぼう
浅墓,あさはか
巫山戯,ふざけ
藪医者,やぶいしゃ
地下足袋,じかたび
相子,あいこ
浪漫派,ロマンは
団栗,どんぐり
変梃,へんてこ
加里,カリ
片,"ペンス,びら"
身方,みかた
黒味,くろみ
土百姓,どびゃくしょう
浪漫主義,ロマンしゅぎ
歌留多,カルタ
本真,ほんま
太目,ふとめ
修斗,しゅうと
浪漫的,ロマンてき
阿蘭陀,オランダ
当前,とうぜん
深味,ふかみ
厚味,あつみ
裏垢,うらアカ
屯,トン
参覲交代,さんきんこうたい
印度洋,インドよう
罐,かん
白味,しろみ
珊,サンチ
目茶目茶,めちゃめちゃ
垢離,こり
滅多矢鱈,めったやたら
低目,ひくめ
和蘭陀,オランダ
瓦斯灯,ガスとう
奴原,やつばら
舌平目,したびらめ
鈕,ボタン
高目,たかめ
和行,わぎょう
鮒寿司,ふなずし
篦棒,べらぼう
穢多,えた
浪曼,ろうまん
大正浪漫,たいしょうろまん
亜剌比亜,アラビア
多行,たぎょう
仙,セント
米突,メートル
布哇,ハワイ
参覲,さんきん
箆棒,べらぼう
我楽多,がらくた
鱈腹,たらふく
独乙,ドイツ
狐狗狸,"こっくり,こくり"
安目,やすめ
土性骨,どしょうぼね
天婦羅,てんぷら
目茶,めちゃ
治具,ジグ
数奇,すき
悪巫山戯,わるふざけ
加留多,カルタ
墺太利,オーストリア
瓦落多,がらくた
金雀枝,えにしだ
馬太,マタイ
印度支那,インドシナ
四股名,しこな
天手古舞,てんてこまい
新嘉坡,シンガポール
竹箆,しっぺい
花林糖,かりんとう
東印度,ひがしインド
唐揚,からあげ
玄能,げんのう
皺苦茶,しわくちゃ
巴里祭,パリさい
吉利支丹,キリシタン
儒艮,じゅごん
嗚呼嗚呼,ああああ
軽袗,カルサン
小芥子,こけし
喇嘛,らま
甲比丹,カピタン
駄駄,だだ
山袴,さんぱく
金雀児,えにしだ
甲必丹,カピタン
段通,だんつう
有平糖,アルヘイとう
茶利,ちゃり
破茶滅茶,はちゃめちゃ
厚目,あつめ
迂散,うさん
弁柄,べんがら
番重,ばんじゅう
尾籠,おこ
愛蘭土,アイルランド
本垢,ほんアカ
阿媽,アマ
詮術,せんすべ
緞通,だんつう
他愛，__他愛__ない,"たわい,たあい"
脊広,せびろ
錻力,ブリキ
魯西亜,ロシア
洪牙利,ハンガリー
冶具,ジグ
達示,たっし
我利我利,がりがり
虎狼痢,コロリ
逸,いち
加農,カノン
日耳曼,ゲルマン
瓦落,がら
亜爾然丁,アルゼンチン
土耳其,トルコ
丁幾,チンキ
叱,しっ
仏恥義理,ぶっちぎり
下卑,げび
豆富,とうふ
鍵垢,かぎアカ
頓痴気,とんちき
良行,らぎょう
迷図,メイズ
銀名,ギニア
菲沃斯,ひよす
羅典,ラテン
錻,ブリキ
新加坡,シンガポール
