Question,Answers
"面倒、七__面倒__、七__面倒__臭い、面妖
「目」に「だくな〔＝むだ〕」がついた名詞「目だくな」から「目だうな」→「面倒（な）」となった。",めんどう
普段,ふだん
無駄,むだ
馬鹿,ばか
__味__方、__身__方、中__味__、中身,み
素敵、素適,すてき
怪我,けが
試合、仕合,しあい
無茶、__無茶__苦茶,"むちゃ,むちゃくちゃ"
布団,ふとん
充分,じゅうぶん
無理矢理,むりやり
思惑,おもわく
堪能,たんのう
十一,じゅういち
丁度、恰度,ちょうど
缶、罐、鑵,かん
呑気、暢気,のんき
野暮,やぼ
阿呆,あほ
寿司,すし
見世物,みせもの
無闇、無暗,むやみ
見栄、見得,みえ
滅多,めった
背広、脊広,せびろ
青__味__、赤__味__、厚__味__、甘__味__、面白__味__、色__味__、黄__味__、強__味__、旨__味__、毒__味__、白__味__、凄__味__、深__味__、重__味__、弱__味__、黒__味__、苦__味__,み
垢,アカ
呉,ご
可哀相、可哀想,かわいそう
野良,のら
甲羅,こうら
威,おどし
出鱈目,でたらめ
深,み
美,み
無鉄砲,むてっぽう
有耶無耶,うやむや
倶楽部,クラブ
漆喰,しっくい
徳利,とっくり
啖呵,たんか
御存知,ごぞんじ
詮,せん
野次、弥次,やじ
囲炉裏,いろり
満更,まんざら
愚図,ぐず
田圃,たんぼ
浪漫、浪曼,ろうまん
奇天烈,きてれつ
朋輩,ほうばい
押忍,"おっす,おす"
判子,はんこ
呆気、__呆気__ない,あっけ
印度,インド
野放図、野放途、野方図,のほうず
浅黄,あさぎ
恵比寿,えびす
釦、鈕,ボタン
村雨,むらさめ
妻君,さいくん
碌、__碌__な、__碌__に、__碌__々,ろく
腕白,わんぱく
与太,よた
付喪神,つくもがみ
苦無,くない
羅紗,ラシャ
屹度,きっと
枚,びら
美事,みごと
真逆,まさか
我武者羅,がむしゃら
天麩羅、天婦羅,てんぷら
頓珍漢,とんちんかん
愚連隊,ぐれんたい
哩,マイル
数寄、数奇,すき
不貞寝,ふてね
刀自,"とうじ,とじ"
大喜利,おおぎり
矢鱈,やたら
空蝉、虚蝉,うつせみ
仇名,あだな
行衛,ゆくえ
矢来,やらい
拠出,きょしゅつ
如雨露,じょうろ
弗,ドル
雲井,くもい
素寒貧,すかんぴん
枇杷,びわ
夜露死苦、夜露四苦、夜呂死苦,よろしく
不図、不斗,ふと
滅茶、目茶,めちゃ
糎、珊,サンチ
吋,インチ
介添,かいぞえ
存知,ぞんじ
米、米突,メートル
住居,すまい
披露目,ひろめ
噸、屯、瓲,トン
高見,たかみ
一図,いちず
和蘭、和蘭陀、阿蘭陀,オランダ
詮方,せんかた
辛棒,しんぼう
浅墓,あさはか
巫山戯,ふざけ
藪医者,やぶいしゃ
地下足袋,じかたび
相子,あいこ
団栗,どんぐり
変梃,へんてこ
加里,カリ
片,"ペンス,びら"
土百姓,どびゃくしょう
歌留多、加留多,カルタ
本真,ほんま
修斗,しゅうと
当前,とうぜん
裏垢,うらアカ
垢離,こり
奴原,やつばら
舌平目,したびらめ
和行,わぎょう
篦棒、箆棒,べらぼう
穢多,えた
亜剌比亜,アラビア
多行,たぎょう
布哇,ハワイ
参覲,さんきん
鱈腹,たらふく
独乙,ドイツ
狐狗狸,"こっくり,こくり"
土性骨,どしょうぼね
治具、冶具,ジグ
墺太利,オーストリア
瓦落多、我楽多,がらくた
金雀枝、金雀児,えにしだ
馬太,マタイ
四股名,しこな
天手古舞,てんてこまい
新嘉坡、新加坡、星嘉坡,シンガポール
竹箆,しっぺい
花林糖,かりんとう
唐揚,からあげ
玄能,げんのう
巴里祭,パリさい
儒艮,じゅごん
軽袗、軽衫,カルサン
小芥子、木形子,こけし
喇嘛,らま
甲比丹、甲必丹,カピタン
駄駄,だだ
山袴,さんぱく
段通、緞通,だんつう
有平糖,アルヘイとう
茶利,ちゃり
厚__目__、熱__目__、細__目__、太__目__、低__目__、高__目__、軽__目__、薄__目__、浅__目__、安__目__,め
迂散,うさん
弁柄,べんがら
番重,ばんじゅう
尾籠,おこ
阿媽,アマ
詮術,せんすべ
他愛、__他愛__ない,"たわい,たあい"
錻力、錻,ブリキ
魯西亜,ロシア
洪牙利、匈牙利,ハンガリー
達示,たっし
我利我利,がりがり
虎狼痢,コロリ
逸,いち
加農,カノン
日耳曼,ゲルマン
瓦落,がら
亜爾然丁,アルゼンチン
土耳其,トルコ
丁幾,チンキ
叱,しっ
仏恥義理,ぶっちぎり
下卑,げび
豆富,とうふ
鍵垢,かぎアカ
頓痴気,とんちき
良行,らぎょう
迷図,メイズ
菲沃斯,ひよす
羅典,ラテン
柬埔寨,カンボジア
勝男武士,かつおぶし
珍糞漢糞、珍紛漢紛,ちんぷんかんぷん
建坪率,けんぺいりつ
飛竜頭,ひりょうず
末行、麻行,まぎょう
新約克、紐約,ニューヨーク
愛羅武勇,アイラブユー
芒果,"マンゴー,マンゴ"
土根性,どこんじょう
度田舎,どいなか
亜墨利加、亜米利加,アメリカ
晩香坡、晩香波,バンクーバー
闍婆,ジャワ
五万米、五真米,ごまめ
偸閑,あからさま
波行,はぎょう
謝文,ざぼん
阿行,あぎょう
加行,かぎょう
和佐比,わさび
加密列,"カミツレ,カミルレ"
久留子,クルス
牛,ぎゅう
留,"ルーブル,ルーブリ"
釬,ミル
節、浬,ノット
打,ダース
兄__者__、姉__者__、母__者__、父__者__人,じゃ、しゃ
片尼,ペニー
発止,はっし
左変、佐変,サへん
良変,ラへん
奈変,ナへん
加変,カへん
也行、夜行,やぎょう
吠舎,"バイシャ, ヴァイシャ"
吠陀,ベーダ
連玉,れだま
米噸,べいトン
笈多,グプタ
珍陀,チンタ
転合、転業,てんごう
規那,キナ
特亜,とくア
坂豚,サカぶた
蘇丹,スーダン
噸税,トンぜい
舎密,セイミ
嬪夫,ピンプ
炉利,ロリ
奈行,なぎょう
尾季,びき
旃那、仙,センナ
波宇,"パオ,パウ,ハウ"
印支,インシ
湾処,わんど
無下,むげ
丑満,うしみつ
