JLPTレベル,Question,Answers,Comment
N5,"<h2>〜あとで</h2>図書館で宿題をした<strong>あとで</strong>、帰ります。
今から少し練習した<strong>あとで</strong>、前で発表してもらいます。
電車に乗った<strong>あとで</strong>、学校に忘れ物をしたことに気がつきました。
アニメを見た<strong>あとで</strong>、お風呂に入ります。
スマホで写真を撮った<strong>あとで</strong>、少し色を変えたり、サイズを変えたりします。
授業<strong>のあとで</strong>、カラオケ行かない？
ご飯<strong>のあとで</strong>、シャワーを浴びます。
仕事<strong>のあとで</strong>、飲みに行きませんか。
映画<strong>のあとで</strong>、ちょっとカフェでもどう？
飲み会<strong>のあとで</strong>、同僚とラーメン屋に行った。",,"<h2>〜あとで</h2><strong>[意味]</strong>
〜してから<b><br></b>前件の事柄が後件の事柄より先に起こること表す。
<strong>[接続]</strong>
V（タ形) + あとで<br>N + のあとで
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
N5,"<h2>〜がいちばん</h2>日本料理で、すき焼きが<strong>一番</strong>好きです。
映画の中でコメディが<strong>一番</strong>好きです。
この学校で、トムさんが<strong>一番</strong>背が高いです。
この教室で、ジェシカさんが<strong>一番</strong>頭がいいです。
音楽で、ロックが<strong>一番</strong>好きです。
一年で、夏が<strong>一番</strong>暑いです。
兄弟で誰が<strong>一番</strong>背が高いですか。
ジョンさんの国でどこが<strong>一番</strong>きれいですか。
ジェームスさんの国でいつが<strong>一番</strong>寒いですか。",,"<h2>〜がいちばん</h2><strong>[意味]</strong>
比較する全てのもの（３つ以上）の中で、最も程度が高いことを表す。
<strong>[接続]</strong>
N + がいちばん
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
比較するものが２つだけの時は「AはBより〜です」の文型を使う。"
N5,"<h2>あまり〜ない&nbsp;</h2><strong>あまり</strong>Facebookは使いません。
すみません。<strong>あまり</strong>テレビは見ないので、その話はわかりません。
ホラー映画は苦手ですから、<strong>あまり</strong>見ません。
昨日は<strong>あまり</strong>勉強しませんでした。
休みの日は<strong>あまり</strong>外に出ません。
この映画は<strong>あまり</strong>面白くないです。
ここの料理は<strong>あまり</strong>美味しくないですが、とても安いです。
ひらがなは<strong>あまり</strong>難しくないですが、カタカナは難しいです。
A：テストはどうでしたか？<br>B：<strong>あまり</strong>よくなかったです。
私の国の電車は<strong>あまり</strong>便利じゃありません。
お酒は<strong>あまり</strong>好きじゃありません。
ホラー映画は苦手ですから、<strong>あまり</strong>見ません。
このあたりは<strong>あまり</strong>静かじゃありませんね。
日本語が<strong>あまり</strong>上手じゃありませんから、英語で話してもいいですか。
",,"<h2>あまり〜ない&nbsp;</h2><strong>[意味]</strong>
程度が高くないことを表す文型
<strong>[接続]</strong>
<div>あまり + V（否定形）<br>あまり + イA（否定形）<br>あまり + ナA（否定形）<br><br></div><div>※必ず否定の形をとる</div>
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
N5,"<h2>〜方（かた）</h2>泳ぎ<strong>方</strong>を教えていただけませんか。
ATMの使い<strong>方</strong>を教えていただけませんか。
この漢字の<ruby>読</ruby>み<strong>方</strong>を教えてください。
おいしい<ruby>料理</ruby>の作り<strong>方</strong>を母に習いました。
あの先生の教え<strong>方</strong>はとてもわかりやすいです。
箸の使い<strong>方</strong>が上手ですね。
AAAデパートへの行き<strong>方</strong>を教えていただけませんか。
アンジェラさんの走り<strong>方</strong>はとてもかわいいです。
切符の買い<strong>方</strong>がわかりません。
肉じゃがの作り<strong>方</strong>が知りたいです。",,"<h2>〜方（かた）</h2><strong>[意味]</strong>
〜をする<ruby>方法</ruby>
<strong>[接続]</strong>
V(ます形)ます&nbsp;+ 方
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
N5,"<h2>〜が欲しい</h2>もっとお金<strong>が欲しいです</strong>。
彼女<strong>が欲しいです</strong>。
Mac Book Pro<strong>が欲しいです</strong>。
もっと休み<strong>が欲しいです</strong>。
先生、あと５分<strong>欲しいです</strong>。
あ〜、どこでもドア<strong>が欲しい</strong>。
誕生日に何<strong>が欲しいですか</strong>。
今、何<strong>が欲しいですか</strong>。
ジェームスさんはどれが<strong>欲しいですか</strong>。
トムさんはどんな車<strong>が欲しいですか</strong>。
時間とお金とどちら<strong>が欲しいですか</strong>。",,"<h2>〜が欲しい</h2><strong>[意味]</strong>
話し手の願望や希望などを表す文型。
<strong>[接続]</strong>
N + が欲しい
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
<strong>第三人称（彼、彼女など）の願望・希望は、表せない。</strong><br>目上の人に「〜欲しいですか」は使えない（使うと失礼）"
N5,"<h2>ぜひ</h2><strong>ぜひ</strong>、今度うちへ遊びにきてください。
東京に来るときは、<strong>ぜひ</strong>連絡ください。
週末、パーティーをするので、<strong>ぜひ</strong>来てください。
彼女は結婚しても仕事を続けたいと言っているので、<strong>ぜひ</strong>続けてほしい。
A：今度、一緒に京都へ行きませんか。色々な場所を案内しますよ。<br>B：はい、<strong>ぜひ</strong>行きたいです。
A：一緒に映画を見に行きませんか。トムさんとジェームスさんも行きます。<br>B：はい、<strong>ぜひ</strong>一緒に見に行きたいです。
",,"<h2>ぜひ</h2><strong>[意味]</strong>
依頼や願望を強調して言う表現。
<strong>[接続]</strong><strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
<div>① 否定文と一緒には基本的に使わない。<br>例：<span style=""text-decoration-line: underline;"">ぜひ</span>来ないでください。<br><br></div><div>② 人の行為に対して使うため、自然現象には使えない。<br>例：明日は嫌いな運動会だから、<span style=""text-decoration-line: underline;"">ぜひ</span>雨が降って欲しい。</div>"
N5,"<h2>〜だけ</h2>私の休みは日曜日<strong>だけ</strong>です。土曜日は仕事があります。
昨日３０分<strong>だけ</strong>勉強しました。
このクラスでフランス人は僕<strong>だけ</strong>です。
今、財布の中には２００円<strong>だけ</strong>あります。
さっき、１時間<strong>だけ</strong>寝ました。
ジェシカさん<strong>だけ</strong>、その問題に答えられなかった。
朝は何も食べません。牛乳<strong>だけ</strong>飲みます。
私はベジダリアンですから、肉は食べません。野菜<strong>だけ</strong>食べます。
トムさん<strong>だけ</strong>が、私の気持ちをわかってくれる。
君<strong>だけ</strong>に、僕の秘密を教えてあげる。",,"<h2>〜だけ</h2><strong>[意味]</strong>
限定を表す
<strong>[接続]</strong>
N + だけ<br>数字 + 助数詞 + だけ
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
英語の場合、onlyが名詞より先に来て「only N」と表現するが、日本語の場合は名詞が先に来て「Nだけ」となる点に注意。"
N5,"<h2>〜で</h2>YouTube<strong>で</strong>日本語を勉強します。
箸<strong>で</strong>ご飯を食べます。
手<strong>で</strong>寿司を食べます。
フォークとスプーン<strong>で</strong>ステーキを食べます。
タブレット<strong>で</strong>映画を見ます。
自転車<strong>で</strong>学校に行きます。
タクシー<strong>で</strong>レストランに行きます。
鉛筆<strong>で</strong>手紙を書きます。
スマホ<strong>で</strong>写真を撮ります。
はさみ<strong>で</strong>紙を切ります。",,"<h2>〜で</h2><strong>[意味]</strong>
手段・方法を表す。
<strong>[接続]</strong><strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
N5,"<h2>〜てから</h2>手を洗っ<strong>てから</strong>ご飯を食べます。
洗濯し<strong>てから</strong>、部屋を掃除します。
靴を脱い<strong>でから</strong>、入ってください。
ご飯を食べ<strong>てから</strong>、薬を飲んでください。
歯を磨い<strong>てから</strong>寝ます。
家に帰っ<strong>てから</strong>、ご飯を食べます。
お金を入れ<strong>てから</strong>ボタンを押してください。
手を洗っ<strong>てから</strong>、料理をしましょう。
宿題をし<strong>てから</strong>、寝ます。
テレビを見<strong>てから</strong>、勉強します。
日本に来<strong>てから</strong>、たくさん日本人の友達ができました。
飛行機が止まっ<strong>てから</strong>、席を立ってください。
先に食券を買っ<strong>てから</strong>、席に座ってください。
",,"<h2>〜てから</h2><strong>[意味]</strong>
XてからY：Xを先に行い、それが終わったらYを行う。
<strong>[接続]</strong>
V（て形）+ から
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
「後文の事柄が起こる条件として、まず前文の事柄が起こる必要がある」というニュアンスがある。"
N5,"<h2>〜でしょう</h2>A：ねぇ、冷蔵庫にあった私のケーキ食べた<strong>でしょう</strong>？<br>B：知らないよ。
A：今、私の話してた<strong>でしょう</strong>？何話してたの？<br>B：何も話てないよ。<br>A：嘘だー。絶対話してたよ。
A：トムさんは今夜の飲み会に来る<strong>でしょう</strong>？<br>B：うん、行くよ。
A：あれー、私のスマホどこ？<br>B：机の上にある<strong>でしょう</strong>？
A：今、私のこと見てた<strong>でしょう</strong>？<br>B：み、見てないよ！
A：トムさんってラーメンが好き<strong>でしょう</strong>？<br>B：うん、どうして？<br>A：駅前に美味しいラーメン屋さんがあるんだけど、一緒に行かない？<br>B：いいよ。
A：これ、昨日彼氏にもらったんだ。いい<strong>でしょう</strong>？<br>B：え〜、いいなあ。
A：これ、北海道で買ったお土産。<br>B：美味しそう。<br>A：美味しいよ。どうぞ食べて。<br>B：わぁ、美味しい！<br>A：（おいしい）<strong>でしょう</strong>？",,"<h2>〜でしょう</h2><strong>[意味]</strong>
相手に確認したり、同意を求める表現
<strong>[接続]</strong>
V（普通形）+ でしょう<br>イA（普通形）+でしょう<br>ナA（普通形）+ でしょう 　※ナAな&nbsp;+ でしょう<br>N（普通形） + でしょう　※Nだ&nbsp;+ でしょう
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
