Question,Answers,Comment,Instructions,Render as
"湯桶読み
場所",ばしょ,ある一定の位置。ある一定の空間。,湯桶読み,Text
"重箱読み
仕事",しごと,しなければならない事柄。「し」は動詞「する」の活用形。この種の「し」に「仕」を当てた結果、重箱読みになる例は多い。,重箱読み,Text
"湯桶読み
彼女",かのじょ,話し手と聞き手以外の女性を指すことば。また、特に、恋人として付き合っている女性をもいう。,湯桶読み,Text
"湯桶読み
友達",ともだち,親しく付き合っている人。「達」をタチと読むのは、古い特殊な音読み。ただし、「ともだち」の「だち」は複数を表すことばで、「達」と書くのは当て字。,湯桶読み,Text
"重箱読み
素直",すなお,他人の意見やまわりの状況によく従うこと。「素」はスと音読みした場合、多くの重箱読みを作る。,重箱読み,Text
"重箱読み
両手",りょうて,左右の手。「両手を挙げて賛成」のように、２文字とも訓読みで「もろて」と読むこともある。,重箱読み,Text
"重箱読み
駄目",だめ,役に立たないこと。本来は、囲碁で対戦者のどちらのものにもならない目をいう。,重箱読み,Text
"重箱読み
本物",ほんもの,うそいつわりのないもの。,重箱読み,Text
"重箱読み
味方",みかた,争いで、自分と同じ側を指す。本来は「御方」と書き、「み」を「味」と書くのは当て字。,重箱読み,Text
"湯桶読み
荷物",にもつ,運ばなくてはならないもの。「荷」の音読みカは、なぜか使われることが少ない。,湯桶読み,Text
"重箱読み
現場",げんば,何かが行われている場所。２文字とも音読みでゲンジョウと読むと、「事件や事故などが生じている場所」だけを指すように範囲が狭まる。,重箱読み,Text
"重箱読み
派手",はで,豪華に見えること。語源には諸説あり、「派手」と書くのは当て字だと思われる。,重箱読み,Text
"重箱読み
役目",やくめ,仕事として、果たさなければならない内容。,重箱読み,Text
"湯桶読み
大勢",おおぜい,人数が多いこと。２文字とも音読みでタイゼイと読むこともある。また、タイセイと読むと、「大勢は決した」のように「全体のなりゆき」という意味の別のことばとなる。,湯桶読み,Text
"重箱読み
具合",ぐあい,ものごとの状態、調子。「工合」とも書き、また「ぐわい」と読むこともあることからすると、当て字だろうと思われる。,重箱読み,Text
"重箱読み
仕方",しかた,やり方。「し」は動詞「する」の活用形。この種の「し」に「仕」を当てた結果、重箱読みになる例は多い。,重箱読み,Text
"湯桶読み
合図",あいず,何かを知らせるために、前もって決めておいた方法。「相図」とも書く。,湯桶読み,Text
"重箱読み
半年",はんとし,１年の半分。,重箱読み,Text
"重箱読み
役割",やくわり,割り当てられた仕事の内容。,重箱読み,Text
"湯桶読み
場面",ばめん,変化していくものごとの中で、あることが行われている部分。その場所や雰囲気など。,湯桶読み,Text
"湯桶読み
長年",ながねん,長い年月。２文字とも音読みでチョウネンと読むこともあるが、現在ではあまり使われない。「永年」とも書く。,湯桶読み,Text
"重箱読み
地元",じもと,あることに直接関係している地域。「その土地」を指す「地＝ジ」は、重箱読みを生むことが多い。,重箱読み,Text
"重箱読み
貴様",きさま,本来は、相手のことを尊敬して呼ぶことば。２文字とも音読みで読む「貴殿キデン」が現在でも尊敬の意味合いで用いられるのと比べると、重箱読みであることが、尊敬の意味合いが失われた一因なのかもしれない。,重箱読み,Text
"重箱読み
試合",しあい,スポーツなどで、勝敗を決めるために競技を行うこと。語源は「○○し合う」なので、「試」を書くのは当て字。「仕合」とも書く。,重箱読み,Text
"湯桶読み
彼氏",かれし,話し手と聞き手以外の男性を指すことば。また、特に、恋人として付き合っている男性をもいう。,湯桶読み,Text
"重箱読み
仕草",しぐさ,「仕種シぐさ」と同じ。,重箱読み,Text
"湯桶読み
片方",かたほう,２つあるものの一方。,湯桶読み,Text
"湯桶読み
身分",みぶん,ある社会の中での地位。,湯桶読み,Text
"重箱読み
金色",きんいろ,貴金属のゴールドのような色。,重箱読み,Text
"重箱読み
本音",ほんね,本当の気持ち。,重箱読み,Text
"重箱読み
吐息",といき,ため息。,重箱読み,Text
"重箱読み
両腕",りょううで,左右の腕。,重箱読み,Text
"湯桶読み
値段",ねだん,価格。,湯桶読み,Text
"湯桶読み
兄貴",あにき,「兄」を敬った言い方。語源は「兄君あにぎみ」かと考えられており、「兄貴」と書くのは当て字。,湯桶読み,Text
"重箱読み
心底",しんそこ,心の奥底。「真底」と書くこともある。また、２文字とも音読みでシンテイと読んでも、意味はほぼ同じ。,重箱読み,Text
"湯桶読み
人質",ひとじち,脅迫のために身柄を拘束された人間。,湯桶読み,Text
"重箱読み
台所",だいどころ,料理をする部屋。,重箱読み,Text
"湯桶読み
目線",めせん,視線。また、ある立場からのものの見方。,湯桶読み,Text
"重箱読み
銀色",ぎんいろ,貴金属のシルバーのような色。,重箱読み,Text
"湯桶読み
手配",てはい,何かを行うために必要な段取りや準備を行うこと。,湯桶読み,Text
"湯桶読み
出番",でばん,ある人が登場するべき場面。,湯桶読み,Text
"重箱読み
仕業",しわざ,だれかが何かをした結果。「し」は動詞「する」の活用形で、この種の「し」に「仕」を当てた結果、重箱読みになる例は多い。,重箱読み,Text
"湯桶読み
夕飯",ゆうはん,夕方に食べるごはん。２文字とも訓読みで「ゆうめし」と読むことも多い。ちなみに、「夕」の音読みはセキ。,湯桶読み,Text
"湯桶読み
敷地",しきち,何かの用途に使うための土地。,湯桶読み,Text
"湯桶読み
思惑",おもわく,思っている内容。語源は、「思う」が変化した「思わく」で、「恐らく」と似たような成り立ちのことば。「わく」を「惑」と書くのは当て字。,湯桶読み,Text
"湯桶読み
相性",あいしょう,お互いの性格が合うか合わないかという具合。「合性」とも書く。,湯桶読み,Text
"湯桶読み
一晩",ひとばん,一夜。,湯桶読み,Text
"湯桶読み
浮気",うわき,移り気。特に、定まった相手ではない相手に、気が惹かれること。,湯桶読み,Text
"湯桶読み
生地",きじ,手を加える前の、もとのままのもの。２文字とも音読みでショウチ、セイチと読むと、「ある人が生まれた土地」を指す別のことばとなる。なお、「そのもの本来」を意味する「地＝ジ」は、多くの重箱読み・湯桶読みを生み出す。,湯桶読み,Text
"重箱読み
気軽",きがる,ためらいがないこと。「気」をキと読むのはほとんど訓読み化してしまった音読みで、多くの重箱読みを生む。,重箱読み,Text
"重箱読み
番組",ばんぐみ,本来は、お芝居などで、出し物を組み合わせた、その日の演目全体を指すことば。「番」には「組み合わせる」という意味がある。,重箱読み,Text
"重箱読み
翌朝",よくあさ,次の日の朝。２文字とも音読みでヨクチョウと読むことも多い。,重箱読み,Text
"湯桶読み
泥棒",どろぼう,盗みをする人。「泥坊」とも書く。,湯桶読み,Text
"湯桶読み
湯気",ゆげ,温かいものから立ち上る水蒸気。,湯桶読み,Text
"重箱読み
両足",りょうあし,左右の足。,重箱読み,Text
"重箱読み
駅前",えきまえ,駅のすぐそば。「駅」には定着した訓読みはない。,重箱読み,Text
"重箱読み
職場",しょくば,働いている場所。,重箱読み,Text
"重箱読み
本棚",ほんだな,書物を納める棚。,重箱読み,Text
"湯桶読み
色気",いろけ,性的な気持ちや魅力。「け」は、ほかのことばの後について状態を表すことばで、「気」と書くのは当て字。,湯桶読み,Text
"湯桶読み
眠気",ねむけ,眠りたいと感じること。「け」は、ほかのことばの後について状態を表すことばで、「気」と書くのは当て字。,湯桶読み,Text
"重箱読み
茶色",ちゃいろ,黒みがかった赤黄色。,重箱読み,Text
"湯桶読み
寒気",さむけ,寒さを感じること。「け」は、ほかのことばの後について状態を表すことばで、「気」と書くのは当て字。２文字とも音読みでカンキと読むと、「寒さ」「冷たい空気」という意味になる。,湯桶読み,Text
"湯桶読み
手順",てじゅん,ものごとを進める順番。,湯桶読み,Text
"湯桶読み
嫌味",いやみ,他人に嫌な思いをさせるような言動。「厭味」とも書く。「み」は、ほかのことばの後に付いて状態や感じを表すことばで、「味」と書くのは当て字。,湯桶読み,Text
"湯桶読み
強気",つよき,積極的で攻撃的な気持ち。,湯桶読み,Text
"湯桶読み
弱気",よわき,消極的で悲観的な気持ち。,湯桶読み,Text
"重箱読み
半端",はんぱ,片割れ、余り。,重箱読み,Text
"重箱読み
両側",りょうがわ,対になる２つの側面。,重箱読み,Text
"重箱読み
図星",ずぼし,ねらいどおりの要点。,重箱読み,Text
"湯桶読み
悪気",わるぎ,他人を傷つけようとする気持ち。,湯桶読み,Text
"重箱読み
無口",むくち,口数が少ないこと。,重箱読み,Text
"重箱読み
毎月",まいつき,月ごとに必ず。,重箱読み,Text
"重箱読み
魔物",まもの,人知では計り知れない存在。,重箱読み,Text
"重箱読み
王様",おうさま,「王」のていねいな言い方。,重箱読み,Text
"湯桶読み
相棒",あいぼう,二人で一緒に行動するときの相手。,湯桶読み,Text
"湯桶読み
屋台",やたい,移動可能で屋根が付いた、小さなお店。「屋体」とも書くが、あまり用いられない。,湯桶読み,Text
"重箱読み
無傷",むきず,傷が付いていないこと。「無疵」と書くこともある。,重箱読み,Text
"重箱読み
気合",きあい,気持ちの入り具合。「気」をキと読むのはほとんど訓読み化してしまった音読みで、多くの重箱読みを生む。,重箱読み,Text
"重箱読み
無様",ぶざま,かっこうがよくないこと。「不様」と書くこともある。,重箱読み,Text
"重箱読み
一手",いって,「次の一手」「一手に引き受ける」など、一つの手段、独占する、といった意味で用いる。２文字とも訓読みで「ひとて」と読むこともある。,重箱読み,Text
"湯桶読み
手帳",てちょう,小さなノートのこと。,湯桶読み,Text
"重箱読み
素手",すで,なにも付けたり持ったりしていない手。「素」はスと音読みした場合、多くの重箱読みを作る。,重箱読み,Text
"重箱読み
両目",りょうめ,左右の目。,重箱読み,Text
"重箱読み
余程",よほど,かなりの程度に。語源は「よきほど」で、「余」を書くのは当て字。,重箱読み,Text
"湯桶読み
黒幕",くろまく,黒い幕。歌舞伎で、舞台の一部を隠すのに用いる。転じて、陰でものごとを操っている者を指す。,湯桶読み,Text
"重箱読み
本屋",ほんや,書物を扱うお店。,重箱読み,Text
"重箱読み
両脇",りょうわき,左右の脇。,重箱読み,Text
"湯桶読み
寝坊",ねぼう,遅くまで寝ていること。,湯桶読み,Text
"湯桶読み
挙句",あげく,連歌で、一番終わりの句。転じて、最終的な結果。「揚句」とも書く。,湯桶読み,Text
"重箱読み
地道",じみち,一歩一歩着実にものごとを進めていくこと。２文字とも音読みでチドウと読んで、トンネルを指すこともある。,重箱読み,Text
"重箱読み
相場",そうば,実際の取引によって決まる値段。また、一般的に考えられている値段や価値。取引の差額によって利益を得ようとすることもいう。,重箱読み,Text
"重箱読み
客間",きゃくま,お客さん用の部屋。部屋を指す「間＝ま」は、多くの重箱読みを生む。「客」は１文字で音読みされて、そのまま日本語の単語として広く使われている。,重箱読み,Text
"重箱読み
素顔",すがお,お化粧などをしていない顔。「素」はスと音読みした場合、多くの重箱読みを作る。,重箱読み,Text
"湯桶読み
左様",さよう,「然様さヨウ」と同じ。「さ」を「左」と書くのは当て字。,湯桶読み,Text
"重箱読み
別物",べつもの,他のもの。,重箱読み,Text
"湯桶読み
布地",ぬのじ,衣服に仕上げるための布。,湯桶読み,Text
"湯桶読み
家賃",やちん,家や部屋の貸料。,湯桶読み,Text
"湯桶読み
幾度",いくど,回数が多いこと。「幾」の音読みはキ。２文字とも音読みでキドと読んでもよさそうだが、それではわかりにくいからか、湯桶読みにする。,湯桶読み,Text
"湯桶読み
荷台",にだい,乗り物で、荷物を載せる台。「荷」の音読みカは、なぜか使われることが少ない。,湯桶読み,Text
"重箱読み
座敷",ざしき,日本家屋で、畳が敷いてある部屋。,重箱読み,Text
"湯桶読み
大仰",おおぎょう,おおげさなこと。「大形」とも書く。,湯桶読み,Text
"湯桶読み
指図",さしず,指示や命令。,湯桶読み,Text
