Question,Answers,Comment,Instructions,Render as
今日,きょう,★ priority form special reading,読みを入力してください,Text
"明日
①きょうの次の日。
「━は早起きしよう・また━会いましょう」
②未来。
「━へと進む」",あした,★ priority form special reading,読みを入力してください,Text
昨日,きのう,★ priority form special reading,読みを入力してください,Text
大人,おとな,★ special reading,読みを入力してください,Text
下手,へた,★ priority form special reading,読みを入力してください,Text
今朝,けさ,★ priority form special reading,読みを入力してください,Text
何故,なぜ,★ special reading,読みを入力してください,Text
親父,おやじ,★ priority form special reading,読みを入力してください,Text
貴方,あなた,★ priority form special reading,読みを入力してください,Text
昨夜,ゆうべ,★ priority form special reading,読みを入力してください,Text
台詞,せりふ,special reading,読みを入力してください,Text
田舎,いなか,★ special reading,読みを入力してください,Text
眼鏡,めがね,★ priority form special reading,読みを入力してください,Text
素人,しろうと,★ priority form special reading,読みを入力してください,Text
"経緯
そうなるまでの、かくれた細かな事情。経過。けいい。
「二人が和解するに至った━」
「行き立つ〔＝成り立つ〕」からで、「行く立て」と同じ語源。",いきさつ,★ special reading,読みを入力してください,Text
風邪,かぜ,★ priority form special reading,読みを入力してください,Text
明後日,あさって,★ priority form special reading,読みを入力してください,Text
果物,くだもの,★ priority form special reading,読みを入力してください,Text
悪戯,いたずら,★ priority form special reading,読みを入力してください,Text
一昨日,おととい,★ priority form special reading,読みを入力してください,Text
薔薇,ばら,★ priority form special reading,読みを入力してください,Text
巫女,みこ,★ priority form special reading,読みを入力してください,Text
煙草,たばこ,★ priority form special reading,読みを入力してください,Text
火傷,やけど,★ special reading,読みを入力してください,Text
流石,さすが,★ priority form special reading,読みを入力してください,Text
雑魚,ざこ,special reading,読みを入力してください,Text
浴衣,ゆかた,★ priority form special reading,読みを入力してください,Text
玩具,おもちゃ,★ special reading,読みを入力してください,Text
蜘蛛,くも,★ priority form special reading,読みを入力してください,Text
数多,あまた,special reading,読みを入力してください,Text
土産,みやげ,★ special reading,読みを入力してください,Text
百合,ゆり,★ priority form special reading,読みを入力してください,Text
黄昏,たそがれ,★ priority form special reading,読みを入力してください,Text
硝子,ガラス,rarely used form special reading,読みを入力してください,Text
女将,おかみ,special reading,読みを入力してください,Text
松明,たいまつ,special reading,読みを入力してください,Text
"如何
①どのように。「―いたしましょうか」
②どうですか。どうぞ。「一杯―ですか」",いかが,★ special reading,読みを入力してください,Text
所謂,いわゆる,★ special reading,読みを入力してください,Text
何時,いつ,rarely used form special reading,読みを入力してください,Text
"如何
①どのように。「その時には―しますか」
②相手の考えを問う語。「お一つ―」",どう,rarely used form special reading,読みを入力してください,Text
山羊,やぎ,special reading,読みを入力してください,Text
生業,なりわい,special reading,読みを入力してください,Text
梅雨,つゆ,★ priority form special reading,読みを入力してください,Text
蕎麦,そば,★ priority form special reading,読みを入力してください,Text
竹刀,しない,★ priority form special reading,読みを入力してください,Text
神楽,かぐら,★ special reading,読みを入力してください,Text
鳩尾,みぞおち,special reading,読みを入力してください,Text
老舗,しにせ,★ special reading,読みを入力してください,Text
従兄弟,いとこ,★ priority form special reading,読みを入力してください,Text
許嫁,いいなずけ,special reading,読みを入力してください,Text
蜥蜴,とかげ,special reading,読みを入力してください,Text
狼煙,のろし,special reading,読みを入力してください,Text
白粉,おしろい,★ special reading,読みを入力してください,Text
海苔,のり,★ priority form special reading,読みを入力してください,Text
小豆,あずき,★ priority form special reading,読みを入力してください,Text
母娘,おやこ,special reading,読みを入力してください,Text
黙,しじま,rarely used form special reading,読みを入力してください,Text
煙管,きせる,special reading,読みを入力してください,Text
従姉妹,いとこ,★ priority form special reading,読みを入力してください,Text
祝詞,のりと,special reading,読みを入力してください,Text
草鞋,わらじ,special reading,読みを入力してください,Text
稲荷,いなり,★ special reading,読みを入力してください,Text
向日葵,ひまわり,special reading,読みを入力してください,Text
長閑,のどか,★ special reading,読みを入力してください,Text
吃驚,びっくり,rarely used form special reading,読みを入力してください,Text
素面,しらふ,special reading,読みを入力してください,Text
百足,むかで,special reading,読みを入力してください,Text
許婚,いいなずけ,special reading,読みを入力してください,Text
木偶,でく,special reading,読みを入力してください,Text
泥濘,ぬかるみ,special reading,読みを入力してください,Text
"如何
①事の次第。なりゆき。「先方の返答―による」
②どのように。「相手が強すぎて―ともし難い」
参考 :「いかに」の転。「いかが･どう」と読めば別の意になる。",いかん,special reading,読みを入力してください,Text
襤褸,ぼろ,special reading,読みを入力してください,Text
売女,ばいた,special reading,読みを入力してください,Text
蜻蛉,とんぼ,★ priority form special reading,読みを入力してください,Text
胡坐,あぐら,★ priority form special reading,読みを入力してください,Text
坩堝,るつぼ,special reading,読みを入力してください,Text
匕首,あいくち,special reading,読みを入力してください,Text
紫陽花,あじさい,★ priority form special reading,読みを入力してください,Text
為替,かわせ,★ priority form special reading,読みを入力してください,Text
科白,せりふ,rarely used form special reading,読みを入力してください,Text
螺子,ねじ,rarely used form special reading,読みを入力してください,Text
土竜,もぐら,special reading,読みを入力してください,Text
山車,だし,special reading,読みを入力してください,Text
不知火,しらぬい,special reading,読みを入力してください,Text
海月,くらげ,rarely used form special reading,読みを入力してください,Text
烏賊,いか,★ special reading,読みを入力してください,Text
蝸牛,かたつむり,special reading,読みを入力してください,Text
蚯蚓,みみず,rarely used form special reading,読みを入力してください,Text
躑躅,つつじ,rarely used form special reading,読みを入力してください,Text
掏摸,すり,rarely used form special reading,読みを入力してください,Text
徒然,つれづれ,special reading,読みを入力してください,Text
美人局,つつもたせ,special reading,読みを入力してください,Text
破落戸,ごろつき,special reading,読みを入力してください,Text
干支,えと,special reading,読みを入力してください,Text
灰汁,あく,special reading,読みを入力してください,Text
漏斗,じょうご,special reading,読みを入力してください,Text
三和土,たたき,special reading,読みを入力してください,Text
白面,しらふ,rarely used form special reading,読みを入力してください,Text
秋刀魚,さんま,special reading,読みを入力してください,Text
小火,ぼや,★ priority form special reading,読みを入力してください,Text
発条,ばね,rarely used form special reading,読みを入力してください,Text
蛞蝓,なめくじ,special reading,読みを入力してください,Text
就中,なかんずく,special reading,読みを入力してください,Text
柘植,つげ,special reading,読みを入力してください,Text
葛籠,つづら,special reading,読みを入力してください,Text
鴛鴦,おしどり,special reading,読みを入力してください,Text
郁子,むべ,special reading,読みを入力してください,Text
虎子,まる,special reading,読みを入力してください,Text
悪阻,つわり,★ special reading,読みを入力してください,Text
時鳥,ほととぎす,special reading,読みを入力してください,Text
水母,くらげ,rarely used form special reading,読みを入力してください,Text
糸瓜,へちま,special reading,読みを入力してください,Text
軍鶏,しゃも,special reading,読みを入力してください,Text
海鼠,なまこ,special reading,読みを入力してください,Text
炬,たいまつ,rarely used form special reading,読みを入力してください,Text
土筆,つくし,special reading,読みを入力してください,Text
蜈蚣,むかで,special reading,読みを入力してください,Text
女郎花,おみなえし,special reading,読みを入力してください,Text
等閑,なおざり,★ special reading,読みを入力してください,Text
蒲公英,たんぽぽ,rarely used form special reading,読みを入力してください,Text
海豚,いるか,rarely used form special reading,読みを入力してください,Text
黄楊,つげ,special reading,読みを入力してください,Text
木瓜,ぼけ,special reading,読みを入力してください,Text
茱萸,ぐみ,rarely used form special reading,読みを入力してください,Text
未通女,おぼこ,rarely used form special reading,読みを入力してください,Text
海豹,あざらし,rarely used form special reading,読みを入力してください,Text
紙魚,しみ,special reading,読みを入力してください,Text
静寂,しじま,rarely used form special reading,読みを入力してください,Text
審神者,さにわ,special reading,読みを入力してください,Text
弾機,ばね,rarely used form special reading,読みを入力してください,Text
蜉蝣,かげろう,special reading,読みを入力してください,Text
木通,あけび,rarely used form special reading,読みを入力してください,Text
零余子,むかご,special reading,読みを入力してください,Text
鷦鷯,みそさざい,special reading,読みを入力してください,Text
捻子,ねじ,rarely used form special reading,読みを入力してください,Text
面皰,にきび,rarely used form special reading,読みを入力してください,Text
兎唇,いぐち,special reading,読みを入力してください,Text
探湯,くかたち,special reading,読みを入力してください,Text
祝女,のろ,special reading,読みを入力してください,Text
胡簶,やなぐい,special reading,読みを入力してください,Text
掏児,すり,rarely used form special reading,読みを入力してください,Text
胡頽子,ぐみ,rarely used form special reading,読みを入力してください,Text
海象,せいうち,special reading,読みを入力してください,Text
嬥歌,かがい,special reading,読みを入力してください,Text
蝲蛄,ざりがに,rarely used form special reading,読みを入力してください,Text
翻筋斗,もんどり,rarely used form special reading,読みを入力してください,Text
灼然,いやちこ,special reading,読みを入力してください,Text
細魚,さより,special reading,読みを入力してください,Text
踏鞴，__踏鞴__を踏む,たたら,rarely used form special reading,読みを入力してください,Text
野羊,やぎ,rarely used form special reading,読みを入力してください,Text
天蚕糸,てぐす,rarely used form special reading,読みを入力してください,Text
大角豆,ささげ,special reading,読みを入力してください,Text
欠唇,いぐち,special reading,読みを入力してください,Text
豇豆,ささげ,special reading,読みを入力してください,Text
天糸瓜,へちま,rarely used form special reading,読みを入力してください,Text
通草,あけび,rarely used form special reading,読みを入力してください,Text
石斑魚,うぐい,special reading,読みを入力してください,Text
没分暁漢,わからずや,special reading,読みを入力してください,Text
障泥,あおり,special reading,読みを入力してください,Text
虎落,もがり,special reading,読みを入力してください,Text
三十三才,みそさざい,ateji form special reading,読みを入力してください,Text
闋,くさり,special reading,読みを入力してください,Text
泥障,あおり,special reading,読みを入力してください,Text
蜻蜓,とんぼ,rarely used form special reading,読みを入力してください,Text
漆樹,うるし,special reading,読みを入力してください,Text
胡籙,やなぐい,special reading,読みを入力してください,Text
戯奴,わけ,special reading,読みを入力してください,Text
樹懶,なまけもの,rarely used form special reading,読みを入力してください,Text
鯎,うぐい,special reading,読みを入力してください,Text
鰾,うきぶくろ,special reading,読みを入力してください,Text
齣,くさり,special reading,読みを入力してください,Text
黥,いれずみ,special reading,読みを入力してください,Text
孤,みなしご,★ special reading,読みを入力してください,Text
鱵,さより,special reading,読みを入力してください,Text
刑事,でか,special reading,読みを入力してください,Text
越南,ベトナム,special reading,読みを入力してください,Text
莢迷,がまずみ,rarely used form special reading,読みを入力してください,Text
洋灯,ランプ,special reading,読みを入力してください,Text
常歩,なみあし,special reading,読みを入力してください,Text
迎合,あど,special reading,読みを入力してください,Text
運命,さだめ,★ special reading,読みを入力してください,Text
喞筒,ポンプ,special reading,読みを入力してください,Text
舎人,とねり,special reading,読みを入力してください,Text
対手,あいて,special reading,読みを入力してください,Text
黄泉,よみ,special reading,読みを入力してください,Text
含嗽,うがい,special reading,読みを入力してください,Text
氷州,アイスランド,special reading,読みを入力してください,Text
公卿,くげ,special reading,読みを入力してください,Text
乃公,おれ,special reading,読みを入力してください,Text
刺青,いれずみ,special reading,読みを入力してください,Text
文身,いれずみ,special reading,読みを入力してください,Text
和土,たたき,rarely used form special reading,読みを入力してください,Text
老爺,おやじ,special reading,読みを入力してください,Text
沈黙,しじま,rarely used form special reading,読みを入力してください,Text
無言,しじま,rarely used form special reading,読みを入力してください,Text
桑港,サンフランシスコ,special reading,読みを入力してください,Text
羅府,ロサンゼルス,special reading,読みを入力してください,Text
魚虱,ちょう,special reading,読みを入力してください,Text
魚蝨,ちょう,special reading,読みを入力してください,Text
義兄,あに,★ special reading,読みを入力してください,Text
義姉,あね,★ special reading,読みを入力してください,Text
義弟,おとうと,★ special reading,読みを入力してください,Text
義母,はは,★ special reading,読みを入力してください,Text
義妹,いもうと,★ special reading,読みを入力してください,Text
甜瓜,まくわうり,special reading,読みを入力してください,Text
海桐,とべら,special reading,読みを入力してください,Text
鉄漿,かね,special reading,読みを入力してください,Text
松蘿,さるおがせ,special reading,読みを入力してください,Text
地震,ない,special reading,読みを入力してください,Text
陰嚢,ふぐり,special reading,読みを入力してください,Text
終日,ひねもす,special reading,読みを入力してください,Text
宿直,とのい,special reading,読みを入力してください,Text
糸冬,おわり,special reading,読みを入力してください,Text
強請,もがり,special reading,読みを入力してください,Text
孤児,みなしご,★ special reading,読みを入力してください,Text
花車,だし,rarely used form special reading,読みを入力してください,Text
食指,ひとさしゆび,special reading,読みを入力してください,Text
石蓴,あおさ,special reading,読みを入力してください,Text
泥炭,すくも,★ special reading,読みを入力してください,Text
東雲,しののめ,special reading,読みを入力してください,Text
母子,おやこ,★ special reading,読みを入力してください,Text
暴風||雨||,あらし,★ special reading,読みを入力してください,Text
理由,わけ,★ special reading,読みを入力してください,Text
蒿雀,あおじ,special reading,読みを入力してください,Text
荊棘,ばら,special reading,読みを入力してください,Text
刷子,ブラシ,special reading,読みを入力してください,Text
醜女,ぶおんな,★ special reading,読みを入力してください,Text
女形,おやま,★ special reading,読みを入力してください,Text
他人,ひと,★ special reading,読みを入力してください,Text
