Question,Answers,Comment,Instructions,Render as
𰻞𰻞麺,ビャンビャンめん,,,Text
本当,まじ,,,Text
先,さっき,,,Text
空,そら,,,Text
本気,まじ,,,Text
味,み,,,Text
当時,そのかみ,,,Text
白,しら,,,Text
見事,みごと,,,Text
真似,まね,,,Text
永遠,"とこしえ,とわ",,,Text
派手,はで,,,Text
その上,そのかみ,,,Text
夫婦,"みょうと,めおと",,,Text
縁,ゆかり,,,Text
性質,たち,,,Text
質,たち,,,Text
宙,そら,,,Text
付き合い,つきあい,,,Text
温泉,いでゆ,,,Text
欠片,かけら,,,Text
紅,もみ,,,Text
彼方,"あなた,かなた",,,Text
破片,かけら,,,Text
輩,ばら,,,Text
原,ばら,,,Text
真正面,まとも,,,Text
体質,たち,,,Text
丈夫,ますらお,,,Text
永久,とわ,,,Text
交際,つきあい,,,Text
嫌味,いやみ,,,Text
溝,どぶ,,,Text
折角,せっかく,,,Text
客人,まろうど,,,Text
伊達,だて,,,Text
某,なにがし,,,Text
爺さん,じいさん,,,Text
目配せ,めくばせ,,,Text
路,じ,,,Text
仇,あだ,,,Text
先刻,さっき,,,Text
馴染み,なじみ,,,Text
気質,かたぎ,,,Text
徒,あだ,,,Text
花弁,はなびら,,,Text
面子,メンツ,,,Text
一八,いちはつ,,,Text
剣幕,けんまく,,,Text
欠伸,あくび,,,Text
塵,ごみ,,,Text
囚人,めしゅうど,,,Text
紅葉,もみじ,,,Text
大雑把,おおざっぱ,,,Text
人事,ひとごと,,,Text
他所,よそ,,,Text
婆さん,ばあさん,,,Text
裸足,はだし,,,Text
目論見,もくろみ,,,Text
飛沫,しぶき,,,Text
余所,よそ,,,Text
陽炎,"かぎろい,かげろう",,,Text
大蛇,おろち,,,Text
乳母,めのと,,,Text
突飛,とっぴ,,,Text
所以,ゆえん,,,Text
虚,そら,,,Text
雀,ジャン,,,Text
此方,こなた,,,Text
饅頭,"まんじゅう,マントウ",,,Text
剣呑,けんのん,,,Text
頁,ページ,,,Text
蝙蝠,こうもり,,,Text
方便,"たずき,たつき",,,Text
出汁,だし,,,Text
翡翠,かわせみ,,,Text
宜しく,よろしく,,,Text
一昨年,おととし,,,Text
海老,えび,,,Text
嗚呼,ああ,,,Text
氷柱,つらら,,,Text
髑髏,"されこうべ,しゃれこうべ",,,Text
薙刀,なぎなた,,,Text
餃子,"ギョウザ,ギョーザ",,,Text
博打,ばくち,,,Text
何卒,なにとぞ,,,Text
三十日,みそか,,,Text
奥手,おくて,,,Text
虚言,そらごと,,,Text
其方,そなた,,,Text
船首,みよし,,,Text
御存じ,ごぞんじ,,,Text
如月,きさらぎ,,,Text
細切れ,こまぎれ,,,Text
黒子,ほくろ,,,Text
麻雀,マージャン,,,Text
十八番,おはこ,,,Text
団扇,うちわ,,,Text
剃刀,かみそり,,,Text
水夫,かこ,,,Text
東屋,あずまや,,,Text
独楽,こま,,,Text
銀杏,いちょう,,,Text
目処,めど,,,Text
お転婆,おてんば,,,Text
蛸,たこ,,,Text
鮎,あゆ,,,Text
凧,いか,,,Text
塵芥,ごみ,,,Text
泡沫,うたかた,,,Text
旅籠,はたご,,,Text
胡桃,くるみ,,,Text
叩き,たたき,,,Text
三十路,みそじ,,,Text
お祖父ちゃん,おじいちゃん,,,Text
大盤振る舞い,おおばんぶるまい,,,Text
賽,さい,,,Text
長刀,なぎなた,,,Text
茄子,"なす,なすび",,,Text
礫,つぶて,,,Text
積もり,つもり,,,Text
惚気,のろけ,,,Text
案山子,かかし,,,Text
仕舞い,しまい,,,Text
牡蠣,かき,,,Text
自棄,やけ,,,Text
蓮華,れんげ,,,Text
陸奥,みちのく,,,Text
折から,おりから,,,Text
白湯,パイタン,,,Text
お祖母ちゃん,おばあちゃん,,,Text
達磨,だるま,,,Text
きめ細やか,きめこまやか,,,Text
菖蒲,あやめ,,,Text
神子,みこ,,,Text
鰹節,かつおぶし,,,Text
雲雀,ひばり,,,Text
譫言,うわごと,,,Text
海神,わだつみ,,,Text
蝦夷,"えぞ,えみし",,,Text
白痴,たわけ,,,Text
算盤,そろばん,,,Text
目途,めど,,,Text
内儀,おかみ,,,Text
触れ,ふれ,,,Text
土器,かわらけ,,,Text
仕掛,からくり,,,Text
天晴れ,あっぱれ,,,Text
嬰児,みどりご,,,Text
四阿,あずまや,,,Text
蟷螂,かまきり,,,Text
朋友,ポンユー,,,Text
囃子,はやし,,,Text
厭味,いやみ,,,Text
生計,"たずき,たつき",,,Text
片端,かたわ,,,Text
辛味,からみ,,,Text
花魁,おいらん,,,Text
祖父さん,じいさん,,,Text
似非,えせ,,,Text
彼処,かしこ,,,Text
雉,きじ,,,Text
阿片,あへん,,,Text
昔日,そのかみ,,,Text
烏龍茶,ウーロンちゃ,,,Text
片輪,かたわ,,,Text
花梨,かりん,,,Text
野垂れ死に,のたれじに,,,Text
棲家,すみか,,,Text
うま味,うまみ,,,Text
寡婦,やもめ,,,Text
卓袱台,ちゃぶだい,,,Text
何某,なにがし,,,Text
フテ寝,ふてね,,,Text
牌,パイ,,,Text
何方,どなた,,,Text
大凡,おおよそ,,,Text
仰山,ぎょうさん,,,Text
南瓜,カボチャ,,,Text
南風,はえ,,,Text
十六夜,いざよい,,,Text
博奕,ばくち,,,Text
炒飯,チャーハン,,,Text
殺陣,たて,,,Text
吝嗇,けち,,,Text
舳,みよし,,,Text
芥,ごみ,,,Text
胡座,あぐら,,,Text
幾何,いくばく,,,Text
鬼灯,ほおずき,,,Text
跣足,はだし,,,Text
雲母,きらら,,,Text
鬨,とき,,,Text
胡瓜,きゅうり,,,Text
住み処,すみか,,,Text
きめ細か,きめこまか,,,Text
幼気,いたいけ,,,Text
莨,タバコ,,,Text
鮨,すし,,,Text
家鴨,あひる,,,Text
雪洞,ぼんぼり,,,Text
絣,かすり,,,Text
黄泉の国,よみのくに,,,Text
鍍金,めっき,,,Text
飛礫,つぶて,,,Text
肌理,きめ,,,Text
麻疹,はしか,,,Text
七面倒,しちめんどう,,,Text
折柄,おりから,,,Text
宿り木,やどりぎ,,,Text
猪口,"ちょく,ちょこ",,,Text
斑鳩,いかる,,,Text
布令,ふれ,,,Text
香具師,やし,,,Text
帷子,かたびら,,,Text
所縁,ゆかり,,,Text
身形,みなり,,,Text
機巧,からくり,,,Text
真面,まとも,,,Text
流離,さすらい,,,Text
蝦,えび,,,Text
山葵,わさび,,,Text
無花果,いちじく,,,Text
河豚,ふぐ,,,Text
母衣,ほろ,,,Text
飛蝗,ばった,,,Text
雉子,きじ,,,Text
戯け,たわけ,,,Text
太鼓持ち,たいこもち,,,Text
明々後日,しあさって,,,Text
戎,えびす,,,Text
雀荘,ジャンそう,,,Text
羊歯,しだ,,,Text
熨斗,のし,,,Text
顳顬,こめかみ,,,Text
骰子,"さい,さいころ",,,Text
泥鰌,どじょう,,,Text
蟋蟀,こおろぎ,,,Text
蜩,ひぐらし,,,Text
芥子,けし,,,Text
北京ダック,ペキンダック,,,Text
杜若,かきつばた,,,Text
兎も角も,ともかくも,,,Text
韓流,ハンリュー,,,Text
米粉,ビーフン,,,Text
祖母さん,ばあさん,,,Text
烽火,のろし,,,Text
四十路,よそじ,,,Text
晦日,みそか,,,Text
罌粟,けし,,,Text
寡,やもめ,,,Text
鶏冠,とさか,,,Text
海星,ひとで,,,Text
頓馬,とんま,,,Text
渋味,しぶみ,,,Text
旋毛,つむじ,,,Text
守宮,やもり,,,Text
可惜,あたら,,,Text
明太,メンタイ,,,Text
心太,ところてん,,,Text
魚籠,びく,,,Text
大蒜,にんにく,,,Text
流鏑馬,やぶさめ,,,Text
住み家,すみか,,,Text
香菜,シャンツァイ,,,Text
猫可愛がり,ねこかわいがり,,,Text
百舌,もず,,,Text
空言,そらごと,,,Text
百日紅,さるすべり,,,Text
小籠包,"ショウロンポウ,ショーロンポー",,,Text
外連味,けれんみ,,,Text
打ち掛け,うちかけ,,,Text
飛白,かすり,,,Text
土龍,"もぐら,もぐらもち",,,Text
噫,ああ,,,Text
桜桃,さくらんぼ,,,Text
浮腫,むくみ,,,Text
功夫,カンフー,,,Text
獅子頭,ししとう,,,Text
花片,はなびら,,,Text
見幕,けんまく,,,Text
玄翁,げんのう,,,Text
朱鷺,とき,,,Text
鯨波,とき,,,Text
空豆,そらまめ,,,Text
幾許,いくばく,,,Text
玄孫,やしゃご,,,Text
章魚,たこ,,,Text
強請り,ゆすり,,,Text
虎杖,いたどり,,,Text
雀斑,そばかす,,,Text
裲襠,うちかけ,,,Text
襁褓,"むつき,おしめ,おむつ",,,Text
古酒,くーす,,,Text
豆板醤,トウバンジャン,,,Text
栄螺,さざえ,,,Text
注連,しめ,,,Text
飲茶,ヤムチャ,,,Text
宿木,やどりぎ,,,Text
回鍋肉,ホイコーロー,,,Text
木蔦,きづた,,,Text
痘痕,あばた,,,Text
胞衣,えな,,,Text
恵比須,えびす,,,Text
牡丹雪,ぼたんゆき,,,Text
石女,うまずめ,,,Text
香魚,あゆ,,,Text
傴僂,せむし,,,Text
鮓,すし,,,Text
活計,"たずき,たつき",,,Text
信天翁,あほうどり,,,Text
紙鳶,いか,,,Text
雲丹,うに,,,Text
櫨,はぜ,,,Text
平目,ひらめ,,,Text
酸漿,ほおずき,,,Text
青椒肉絲,"チンジャオロース,チンジャオロースー",,,Text
満貫,マンガン,,,Text
梔子,くちなし,,,Text
五十路,いそじ,,,Text
石蕗,つわぶき,,,Text
独活,うど,,,Text
肉刺,まめ,,,Text
一昨々日,さきおととい,,,Text
永え,とこしえ,,,Text
包子,パオズ,,,Text
阿房,"あほ,あほう",,,Text
公孫樹,いちょう,,,Text
汗疹,あせも,,,Text
矢絣,やがすり,,,Text
水馬,みずすまし,,,Text
鵙,もず,,,Text
半荘,はんチャン,,,Text
雨がっぱ,あまガッパ,,,Text
合歓,ねむ,,,Text
羚羊,かもしか,,,Text
早稲,わせ,,,Text
万年青,おもと,,,Text
焼売,シューマイ,,,Text
胼胝,たこ,,,Text
不如帰,ほととぎす,,,Text
海栗,うに,,,Text
椛,もみじ,,,Text
厚子,アツシ,,,Text
雁金,かりがね,,,Text
山毛欅,ぶな,,,Text
苧,からむし,,,Text
老酒,ラオチュー,,,Text
馬酔木,"あしび,あせび",,,Text
杜鵑,ほととぎす,,,Text
慈姑,くわい,,,Text
早生,わせ,,,Text
一昨昨日,さきおととい,,,Text
御披露目,おひろめ,,,Text
花椒,ホアジャオ,,,Text
鯊,はぜ,,,Text
木賊,とくさ,,,Text
山の芋,やまのいも,,,Text
水鶏,くいな,,,Text
腋臭,わきが,,,Text
囈語,うわごと,,,Text
中生,なかて,,,Text
安全牌,あんぜんパイ,,,Text
厚司,アツシ,,,Text
瞽女,ごぜ,,,Text
唐松,からまつ,,,Text
吃逆,しゃっくり,,,Text
跣,はだし,,,Text
中手,なかて,,,Text
野茨,のいばら,,,Text
鴇,とき,,,Text
橅,ぶな,,,Text
螻蛄,"けら,おけら",,,Text
寄生木,やどりぎ,,,Text
蟇蛙,ひきがえる,,,Text
枳殻,からたち,,,Text
鯣,するめ,,,Text
のっぺら坊,のっぺらぼう,,,Text
井守,いもり,,,Text
目見得,めみえ,,,Text
若布,わかめ,,,Text
噯気,おくび,,,Text
高粱,コーリャン,,,Text
連荘,れんチャン,,,Text
九十九折り,つづらおり,,,Text
溲瓶,しびん,,,Text
海胆,うに,,,Text
蚕豆,そらまめ,,,Text
鮹,たこ,,,Text
一昨々年,さきおととし,,,Text
翌檜,あすなろ,,,Text
水澄,みずすまし,,,Text
蝗虫,ばった,,,Text
彼所,かしこ,,,Text
萵苣,ちしゃ,,,Text
柳樽,やなぎだる,,,Text
雀士,ジャンし,,,Text
沙魚,はぜ,,,Text
海驢,あしか,,,Text
茘枝,ライチ,,,Text
蛻,もぬけ,,,Text
桜ん坊,さくらんぼ,,,Text
木菟,"ずく,みみずく",,,Text
クモ膜,くもまく,,,Text
油淋鶏,ユーリンチー,,,Text
比目魚,ひらめ,,,Text
忍冬,すいかずら,,,Text
雲脂,ふけ,,,Text
梔,くちなし,,,Text
海雲,もずく,,,Text
蜚蠊,ごきぶり,,,Text
東坡肉,トンポーロー,,,Text
聴牌,テンパイ,,,Text
鰥夫,"やもお,やもめ",,,Text
蠑螈,いもり,,,Text
辛夷,こぶし,,,Text
蜀黍,もろこし,,,Text
胴忘れ,どうわすれ,,,Text
木耳,きくらげ,,,Text
蟾蜍,ひきがえる,,,Text
和布,わかめ,,,Text
綿津見,わだつみ,,,Text
蟀谷,こめかみ,,,Text
田作,ごまめ,,,Text
甜麺醤,テンメンジャン,,,Text
葡萄茶,えびちゃ,,,Text
野蒜,のびる,,,Text
険難,けんのん,,,Text
噦,しゃっくり,,,Text
晩生,おくて,,,Text
紫雲英,"げんげ,れんげ",,,Text
