Question,Answers,Comment,freq
今日,きょう,,122
部屋,へや,,153
二人,ふたり,,474
一人,ひとり,,507
"明日
①きょうの次の日。
「━は早起きしよう・また━会いましょう」
②未来。
「━へと進む」",あした,,547
昨日,きのう,,556
大人,おとな,,1009
息子,むすこ,,1094
真面目,まじめ,,1522
真っ赤,まっか,,1627
二十,はたち,,1744
今年,ことし,,1853
真似,まね,,1909
"下手，__下手__をすると
①もしうまく行かなかったら。悪い結果になったら。
「━クビになるかもしれない」
②〔俗〕ひょっとしたら。
「━優勝もありうる」",へた,,2048
景色,けしき,,2051
今朝,けさ,,2131
時計,とけい,,2341
上手,じょうず,,2499
行方,ゆくえ,,2984
何故,なぜ,,3059
母さん,かあさん,,3075
親父,おやじ,,3118
貴方,あなた,,3151
父さん,とうさん,,3209
昨夜,ゆうべ,,3223
台詞,せりふ,,3356
二日,ふつか,,3578
兄さん,にいさん,,3605
尻尾,しっぽ,,3623
田舎,いなか,,3638
眼鏡,めがね,,3648
素人,しろうと,,3703
"経緯
そうなるまでの、かくれた細かな事情。経過。けいい。
「二人が和解するに至った━」
「行き立つ〔＝成り立つ〕」からで、「行く立て」と同じ語源。",いきさつ,,4321
博士,はかせ,,4350
風邪,かぜ,,4380
欠片,かけら,,4508
心地,ここち,,4832
彼方,かなた,,5268
明後日,あさって,,5640
他人事,ひとごと,,5779
果物,くだもの,,5819
真っ青,まっさお,,6038
悪戯,いたずら,,6150
二十歳,はたち,,6777
一昨日,おととい,,6859
甲斐,かい,,7013
姉さん,ねえさん,,8143
何処,どこ,,8254
薔薇,ばら,,8304
叔父,おじ,,8332
巫女,みこ,,8333
煙草,たばこ,,8369
火傷,やけど,,8559
流石,さすが,,8565
雑魚,ざこ,,8642
白髪,しらが,,8661
浴衣,ゆかた,,8753
伊達,だて,,8773
玩具,おもちゃ,,8813
蜘蛛,くも,,9061
迷子,まいご,,9369
今宵,こよい,,9656
数多,あまた,,9844
生憎,あいにく,,10040
土産,みやげ,,10221
花弁,はなびら,,10336
此処,ここ,,10545
狭間,はざま,,10571
清水,しみず,,10640
名残,なごり,,10688
百合,ゆり,,10908
一八,いちはつ,,11281
欠伸,あくび,,11457
叔母,おば,,11459
吹雪,ふぶき,,11509
太刀,たち,,11720
鍛冶,かじ,,11759
睫毛,まつげ,,12409
黄昏，__黄昏れ__る,たそがれ,,12442
目眩,めまい,,12712
硝子,ガラス,,12740
女将,おかみ,,12946
眩暈,めまい,,13078
他所,よそ,,13222
婆さん,ばあさん,,13272
松明,たいまつ,,13315
日向,ひなた,,13373
梯子,はしご,,13424
裸足,はだし,,13440
大和,やまと,,13766
亡骸,なきがら,,13908
"如何
①どのように。「―いたしましょうか」
②どうですか。どうぞ。「一杯―ですか」",いかが,,14279
上野,こうずけ,,14603
所謂,いわゆる,,14767
日和,ひより,,15032
余所,よそ,,15049
伯父,おじ,,15130
如何に,いかに,,15159
陽炎,かげろう,,15502
一寸,ちょっと,,15515
住処,すみか,,15668
乳母,うば,,16117
猛者,もさ,,16126
武蔵,むさし,,16722
所以,ゆえん,,16848
飛沫,しぶき,,17002
二十日,はつか,,17211
何時,いつ,,17501
"如何，__如何__の斯うの
①どのように。「その時には―しますか」
②相手の考えを問う語。「お一つ―」",どう,,17736
山羊,やぎ,,17770
相撲,すもう,,18158
息吹,いぶき,,18341
生業,なりわい,,18378
蝙蝠,こうもり,,18459
雪崩,なだれ,,19142
出汁,だし,,19350
翡翠,かわせみ,,19555
梅雨,つゆ,,19624
蕎麦,そば,,19631
珈琲,コーヒー,,20325
竹刀,しない,,20451
神楽,かぐら,,20750
鳩尾,みぞおち,,20774
一昨年,おととし,,20863
老舗,しにせ,,21168
海老,えび,,21527
従兄弟,いとこ,,21644
嗚呼,ああ,,21881
氷柱,つらら,,21905
太夫,たゆう,,21944
許嫁,いいなずけ,,22014
蜥蜴,とかげ,,22035
彼奴,あいつ,,22226
木綿,もめん,,22767
伯母,おば,,22825
駕籠,かご,,23068
弥生,やよい,,23119
香港,ホンコン,,23573
薙刀,なぎなた,,23957
和泉,いずみ,,24145
博打,ばくち,,24270
何卒,なにとぞ,,24350
皇子,みこ,,24401
近江,おうみ,,24802
三味線,しゃみせん,,24902
海原,うなばら,,25139
出雲,いずも,,25645
一日,ついたち,,25701
良人,おっと,,25733
駿河,するが,,25739
河岸,かし,,26061
其処,そこ,,26255
狼煙,のろし,,26364
八百屋,やおや,,26656
白粉,おしろい,,26722
海苔,のり,,26737
硫黄,いおう,,26738
相模,さがみ,,26805
小豆,あずき,,26851
母娘,おやこ,,27318
微風,そよかぜ,,27522
如月,きさらぎ,,27605
黙,しじま,,27631
七夕,たなばた,,27837
莫迦,ばか,,28274
煙管,きせる,,28555
数珠,じゅず,,28618
黒子,ほくろ,,28627
河童,かっぱ,,28716
従姉妹,いとこ,,28773
十八番,おはこ,,28947
若人,わこうど,,29013
祝詞,のりと,,29156
団扇,うちわ,,29672
草鞋,わらじ,,29801
剃刀,かみそり,,29821
稲荷,いなり,,30105
信濃,しなの,,30227
向日葵,ひまわり,,30262
意気地,いくじ,,30375
足袋,たび,,30383
独楽,こま,,30978
玄人,くろうと,,31644
長閑,のどか,,31845
