Question,Answers,Comment,freq
頑張る,がんばる,,549
可愛い,かわいい,,1332
微笑む,ほほえむ,,3013
美味しい,おいしい,,3022
上手い,うまい,,3055
誤魔化す,ごまかす,,3538
相応しい，(相応う),ふさわしい,,4113
美味い,うまい,,4371
支払う,しはらう,,4484
流行る,はやる,,6414
躊躇う,ためらう,,8322
容易い,たやすい,,8414
彷徨う,さまよう,,8752
見惚れる,みとれる,,8968
不味い,まずい,,9231
茶化す,ちゃかす,,9971
可笑しい,おかしい,,11139
狼狽える,うろたえる,,14058
口惜しい,くやしい,,14535
自惚れる,うぬぼれる,,17042
下卑る,げびる,,18151
洒落る，小__洒落る__,しゃれる,,19022
平伏す,ひれふす,,22261
不貞腐れる,ふてくされる,,24738
巣食う,すくう,,26237
微睡む,まどろむ,,26460
由々しい,ゆゆしい,,27425
蔓延る,はびこる,,32313
揶揄う,からかう,,35016
"強請る｟他五｠
あまえてたのんで、手に入れようとする。
「ゲームソフトを━・芸能人にサインを━」",ねだる,,35965
戦慄く,わななく,,37549
日和る,ひよる,,42312
目出度い，お__目出度い__,めでたい,,45171
白を切る,しらをきる,,46626
藻掻く,もがく,,46767
吹雪く,ふぶく,,48249
頭に乗る,ずにのる,,48553
巫山戯る,ふざける,,48864
五月蝿い,うるさい,,49930
"揺蕩う
① ゆらゆらと揺れ動いて定まらない。「波間に小舟が―・う」
② 気持ちが定まらずためらう。心を決めかねる。
「強悪非道の曲物 (くせもの) も女と見て少し―・う内に」〈鉄腸・花間鶯〉",たゆたう,,50671
見蕩れる,みとれる,,53016
"分捕る
①他人の物を奪いとる。「他人の土地を―る」
②戦争で、敵の武器などを奪いとる。",ぶんどる,,53415
雪崩れる,なだれる,,56506
悪どい,あくどい,,56509
仰有る,おっしゃる,,57870
"強請る
おどしたり、弱みにつけこんだりして金品を取り上げたり、自分に従わせたりする。
「悪い連中に金を━・られる」",ゆする,,58701
伝染る,うつる,,60962
出会す,でくわす,,62945
嘔吐く,えずく,,65164
彷徨く,うろつく,,68448
悄気る,しょげる,,72646
草臥れる,くたびれる,,77172
愚図る,ぐずる,,79689
鹿爪らしい,しかつめらしい,,84015
清清しい,すがすがしい,,85003
流離う,さすらう,,85526
逆上せる,のぼせる,,87187
覚束無い，覚束ない,おぼつかない,,93247
首肯く,うなずく,,94082
乳繰る,ちちくる,,95583
"泥濘む
道などが泥濘になる。
「道が━」",ぬかるむ,,96458
奥床しい,おくゆかしい,,96650
羽撃く,はばたく,,100298
浮腫む,むくむ,,102375
蹌踉めく,よろめく,,106780
時化る,しける,,110916
落籍す,ひかす,,140868
交尾む,つるむ,,153828
北叟笑む,ほくそえむ,,161748
輪姦す,まわす,,165515
果敢無い,はかない,,179822
微温い,ぬるい,,191764
復習う,さらう,,194053
零落れる,おちぶれる,,197697
武者振り付く,むしゃぶりつく,,210321
弥立つ,よだつ,,211674
手薬煉引く,てぐすねひく,,226773
落魄れる,おちぶれる,,230178
存知上げる,ぞんじあげる,,231321
勾引かす,かどわかす,,240421
叩頭く,ぬかずく,,245349
凜凜しい,りりしい,,245405
男男しい,おおしい,,255327
素見す,ひやかす,,258771
庶幾う,こいねがう,,267442
私語く,ささやく,,283941
我鳴る,がなる,,289651
捗捗しい,はかばかしい,,298989
忠実忠実しい,まめまめしい,,301035
繁吹く,しぶく,,314485
含羞む,はにかむ,,not
挿頭す,かざす,,not
膝行る,いざる,,not
打遣る,うっちゃる,,not
打棄る,うっちゃる,,not
己惚れる,うぬぼれる,,not
焦臭い,きなくさい,,not
拘泥る,こだわる,,not
為出来す,しでかす,,not
重吹く,しぶく,,not
冷笑う,せせらわらう,,not
遊牝む,つるむ,,not
出交す,でくわす,,not
響動む,どよむ,,not
響動めく,どよめく,,not
若気る,にやける,,not
敏捷い,はしこい,,not
乱吹く,ふぶく,,not
目紛しい,めまぐるしい,,not
忌忌しい,ゆゆしい,,not
蹣跚ける,よろける,,not
理無い,わりない,,not
老成る,ませる,,not
感染る,うつる,,not
含羞む,はにかむ,,not
時雨れる,しぐれる,,not
微笑う,わらう,,not
泥濘る,ぬかる,,not
野垂れ死ぬ,"のたれじぬ,のたれしぬ",,not
