Question,Answers,Comment,Instructions,Render as
"把握
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
"合併
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
"弾劾
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
"謄写
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
"憂愁
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
"余剰
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
"報酬
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
"賠償
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
"英俊
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
"尊崇
**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",1,,"**記号**・**構成のしかた**・**例**
1-類義・同じような意味の漢字を重ねたもの・身体
2-対義・反対または対応の意味を表す字を重ねたもの・左右
3-修飾・上の字が下の字を修飾しているもの・洋画
4-目的・下の字が上の字の目的語・補語になっているもの・着火
5-打消・上の字が下の字の意味を打ち消しているもの・非常",Text
