Question,Answers,Comment,Freq,Instructions,Render as
__嬉__しい,うれ,"［嬉］準一級
音: キ 訓: うれ・しい
意味: 喜ぶ、喜び楽しむ、喜び戯(たわむ)れる。",嬉 → JPDB Kanji Freq: 519,漢字の読みを入力してください,Text
__嘘__,うそ,"［嘘］準一級
音: キョ／コ 訓: うそ
意味: 「はぁ」「ふう」と弱く(ゆっくりと)息を吐き出す、勢いよく吹くのは「吹」。
「はぁ」「ふう」と溜息をつく。
「しーっ」という「静かに」「だめ」という制止の意味を表す語。
吹嘘(スイキョ)息を吐き出す吹聴フイチョウする、言いふらす大袈裟(おおげさ)に言う。
日うそ、偽(いつわ)り、事実でないこと。",嘘 → JPDB Kanji Freq: 730,漢字の読みを入力してください,Text
__頷__く・肯く・首肯く,うなず,"［頷］一級
音: カン／ゴン／ガン 訓: うなず・く
意味: 下頜カコウ、下巴(カハ)、口を開閉する際に上下に動く部分、日本でいう下顎(したあご)、同「𩩊」「頦」「顋」{人体(頭部)}。
うなず・く、下顎を引き頭を下げて(これを何度か繰り返して)承知・承諾の意を示す。
顔色が黄色いさま。",頷 → JPDB Kanji Freq: 821,漢字の読みを入力してください,Text
"売り__叩__く
__叩__く
①叩いて払いのける。 ②ぶつ。打つ。","たた,はた","［叩］準一級
音: コウ／ク 訓: たた・く／はた・く
意味: こつこつ・とんとんと短く軽く繰り返し打つ、ノックknockする、同「敂」。
平伏(ひれふ)して頭で地面を打つようにしてお辞儀をする、叩拜(コウハイ)。
問う、尋(たず)ねる、叩問(コウモン)、同「𧥣」。
日はた・く、平手で打つ。",叩 → JPDB Kanji Freq: 851,漢字の読みを入力してください,Text
小__綺__麗，__綺__麗,き,"［綺］一級
音: キ 訓: 
意味: 細糸で模様を織り出した絹織物。
美しい、優美な。",綺 → JPDB Kanji Freq: 939,漢字の読みを入力してください,Text
__呟__く,つぶや,"［呟］一級
音: ケン 訓: つぶや・く
意味: 日つぶや・く、小声で独り言(ひとりごと)を言う。
大きな声。",呟 → JPDB Kanji Freq: 957,漢字の読みを入力してください,Text
__伊__豆，__伊__勢，__伊__賀，紀__伊__,い,"［伊］準一級
音: イ 訓: 
意味: かの、あの、that、これ、この、this。
かれ(彼、三人称)、he、she。
伊尹(イイン)、人名、商朝(別名殷イン、前17世紀～前11世紀)成立に大きな役割を果たしたとされる、阿衡(アコウ)とも呼ばれた{商(殷)代}。",伊 → JPDB Kanji Freq: 1012,漢字の読みを入力してください,Text
__頬__張る,ほお,"［頬］二級
音: キョウ 訓: ほお／ほほ
意味: 顔の両側で目尻の下から上顎(うわあご)辺りまでの部分{人体(頭部)}。",頬 → JPDB Kanji Freq: 1040,漢字の読みを入力してください,Text
__撫__でる，掻い__撫__で,な,"［撫］準一級
音: フ／ブ 訓: な・でる
意味: 手を滑らすようにして軽く摩(さす)る。
摩るようにして愛(いと)おしむ、愛撫(アイブ)。
摩るようにして優しく労(いた)わる、慰撫(イブ)。
物の上に手を置く、手で軽く押える。
軽くぽんぽんと叩(たた)く、同「拊」。
手本をなぞって書く・描く、手本とするものに倣(なら)って書く・描く、同「摸」。",撫 → JPDB Kanji Freq: 1041,漢字の読みを入力してください,Text
食い__繫__ぐ，__繋__がる，__繋__ぐ,つな,"［繋］準一級
音: ケイ／ゲ 訓: つな・ぐ／かか・る
意味: 切れている糸を(途切れているものを)結んで離れないようにする、結び付ける、同「系」。
掛(か)かる、ぶら下がる。",繋 → JPDB Kanji Freq: 1071,漢字の読みを入力してください,Text
