Question,Answers,Comment,Instructions
"このカレーは 15分( )あればできるので、よく作る。
 1. を 
 2. も 
 3. に 
 4. が",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"A: 「新しい携帯電話、ちょっと使いづらいんだよね」
B:「使っていれば ( )、慣れると」。
 1. いまにも 
 2. ようやく 
 3. そのうち 
 4. いつのまに",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"今朝は寝坊してしまい、食事をする時間( )顔を洗う時間もなかった。
 1. すら 
 2. しか 
 3. とはいえ 
 4. どころか",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"A: 「ねぇ、経済学のレポート書けた?」

B:「うん、難しかったけど、( )書いたよ」。
 1. 書けば 
 2. 書いてでも 
 3. 書くだけは 
 4. 書いたわりに",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"情報技術の発展( )、コミュニケーションの手段は多様化している。
 1. において 
 2. にこたえて 
 3. にあたって 
 4. にともなって",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"虫歯が小さい( )、簡単な治療で済みます。虫歯かもしれないと思ったら、早めに受診するようにしましょう。
 1. うちなら 
 2. うちでも 
 3. だけなら 
 4. だけでも",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"A水族館では、二か月前にイルカの赤ちゃんが生まれてから来場者が増え、非常に混雑する( )、開館時間を早めることを検討している。
 1. ようにしたとしても 
 2. ようにしたことから 
 3. ようになったとしても 
 4. ようになったことから",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"酒店で

客:「これから西森町に行くんですが、どこかおいしい和食のお店はあり ませんか」
フロント:「西森町に(  )、「さくら」はいかがでしょうか。大変人気のあるお店です」
 1. 伺うんでしたら 
 2. お参りしたら 
 3. いらっしゃるんでしたら 
 4. お目にかかったら",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"田中さんは仕事が忙しいらしく、最近テニスクラブの練習を休み ( )だ。
 1. かねない 
 2. がち 
 3. とのことだ 
 4. に違いない",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"飼っている犬が最近よくしゃっくりする。心配になって病院で聞いてみたら、一時間以上続く場合は検査したほうがいいが、すぐに止まるなら(  )、と言われた。
 1. 心配しなければならない 
 2. 心配しないでもない 
 3. 心配するわけではない 
 4. 心配することはない",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"私が教えている経済学の講義では、去年から、毎回学生講義の感想や質問を書いて( )。そこから気づかされることも多いからだ。
 1. 出してもらうことにしている 
 2. 出してあげることになる 
 3. 出してもらうことがある 
 4. 出してあげることがある",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"A: 「ねぇ、大変。これから行くお寺、見学するには( )だよ、ガイドブックのここに書いてある」
B: 「本当だ。今から予約できるか電話して聞いてみようか」
 1. 予約しないといけないみたい 
 2. 予約しないといけないはず 
 3. 予約しなくてもいいみたい 
 4. 予約しなくてもいいはず。",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"料理の本に書いてある( )作ってもみたのだが、なぜかうまくいかなかった。
 1. ようで 
 2. もとで 
 3. ほとに 
 4. とおりに",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"村田「青木くんって、本当に面白い人だよね。」 西野 「うん。彼、人を笑わせることに( )天オだからね。」
 1. 向けては 
 2. かけては 
 3. 沿っては 
 4. わたっては",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"山田「私、青木先輩のようにカメラマンの仕事をしたいと思っている ぜひ青木先輩のお話を( )いただけないでしょうか。」 青木「ああ、かまわないよ。」
 1. 聞いて 
 2. 聞けて 
 3. 聞かせて 
 4. 聞かれて",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"今回の京都旅行は、天気が悪い日が多かったが、行きたかったお寺には行けたし、( ) 楽しめた。
 1. そのうえ 
 2. それなりに 
 3. そのころに 
 4. それどころか",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"バス停に着いたとき、出発時刻の1時間前に空港に着くバスがちょうど来たので( )が、満員で乗れず、結局、飛行機に間に合わなかった。
 1. 乗っている途中だった 
 2. 乗ったところだ 
 3. 乗っているつもりだった 
 4. 乗ろうとした",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"友達の中には、仕事が休みの日はすることがなくて、暇( )と言う人もい る。
 1. でしょうがない 
 2. そうにない 
 3. にすぎない 
 4. すらない",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"森田「村山さん、Y社の川西部長が( )。会議室でお待ちです。」 村山「わかりました。」
 1. 参りました 
 2. 承りました 
 3. 見えました 
 4. 伺いました",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"医者「明日になっても熱が下がらない( )、この薬を飲んでください。」
 1. ようであれば 
 2. からであれば 
 3. というようには 
 4. というからには",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(歌の練習で) 先生「最初は、緊張して大きな声で歌えないと思います。でも、( )だんだん大きな声で歌えるようになりますよ。」
 1. 練習していくうちに 
 2. 練習してでも 
 3. 練習するのに対して 
 4. 練習するのに比べて",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"監督「みんな、今日は本当によくやった。この調子であしたの決勝戦もがんばろう。おれたちが勝って世間を( )じゃないか。」
 1. 驚いてやろう 
 2. 驚いてもらおう 
 3. 驚かせてやろう 
 4. 驚かせてもらおう",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"会議は9時開始の予定だったが、開始時刻までに来たのは3人だけだった。遅れてきた人に理由を聞いたら、開始時刻が正しく( )。
 1. 伝わらないはずだった 
 2. 伝えなかったらしい 
 3. 伝えていないはずだった 
 4. 伝わっていなかったらしい",4,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"妹「お姉ちゃん、パソコン貸して。」姉「いいよ。 あ、あとで私も使うから、電源は( )。」 妹「わかった。」
 1. 入れてからにして 
 2. 入れたままにしておいて 
 3. 入れたつもりでいて 
 4. 入れなきゃならなくて",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"小川「ねえ、山田さん。昨日の夜、オリンビッグ中継見た?」山田 「ううん。昨日は残業で疲れちゃって。だから、タ飯 (  ) 食べないで 寝ちやったんだ。」
 1. も 
 2. が 
 3. とは 
 4. にまで",1,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"(広告で) 川西ピアノ教室では、初心者、経験者 (  )、どなたにでも丁寧に指導します。
 1. を通して 
 2. を問わず 
 3. にかけて 
 4. にもかかわらず",2,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
"今日、子どもをきつくしかりすぎたので、気をつけようと思う。(  )、 本人はそれほど気にしていないかもしれないが。
 1. そのかわり 
 2. それなら 
 3. もっとも 
 4. しかも",3,,問題7次の文の（ ）に入れるのに最もよいものを、1. 2. 3. 4から一つ選びなさい。
