Question,Answers,Comment,Instructions
"ストレスを（   ）するために、何かしていますか
 1. 解消 
 2. 削除 
 3. 減量 
 4. 停止",1,,問題 4（ ）に入れるのに最もよいものを、1. 2. 3. 4からひとつ選びなさい。
"生活習慣を（   ）してから、ほとんど病気をしなくなりました
 1. 訂正 
 2. 変換 
 3. 整備 
 4. 改善",4,,問題 4（ ）に入れるのに最もよいものを、1. 2. 3. 4からひとつ選びなさい。
"申し込みの締め切りは明日に（   ）いる
 1. 迫って 
 2. 限って 
 3. 寄って 
 4. 至って",1,,問題 4（ ）に入れるのに最もよいものを、1. 2. 3. 4からひとつ選びなさい。
"日曜だから込んでいるかと思ったけど、（   ）すいているね
 1. たいして 
 2. どうりで 
 3. わりと 
 4. よけい",3,,問題 4（ ）に入れるのに最もよいものを、1. 2. 3. 4からひとつ選びなさい。
"組織のトップに立つ人間は、広い（   ）を持つことが必要だ
 1. 視界 
 2. 視野 
 3. 視線 
 4. 視察",2,,問題 4（ ）に入れるのに最もよいものを、1. 2. 3. 4からひとつ選びなさい。
"シャワーを浴びたら、体も気分も（   ）した
 1. さらさら 
 2. きらきら 
 3. さっぱり 
 4. きっぱり",3,,問題 4（ ）に入れるのに最もよいものを、1. 2. 3. 4からひとつ選びなさい。
"この携帯電話には、いろいろな（   ）がついている
 1. 効用 
 2. 才能 
 3. 機能 
 4. 効力",3,,問題 4（ ）に入れるのに最もよいものを、1. 2. 3. 4からひとつ選びなさい。
"駅前を歩いていたら、テレビのリポーターに突然（   ）、インタビューを受けた。
 1. 聞き取られて 
 2. 呼び止められて 
 3. 問い合わせられて 
 4. 見分けられて",2,,問題4 ( ) に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"明日のハイキングは午前10時集合、午後4時（   ）の予定です。
 1. 解散 
 2. 解放 
 3. 退出 
 4. 退場",1,,問題4 ( ) に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"司会をしてくれる人がいると、話し合いが（   ）進む。
 1. シンプルに 
 2. スムーズに 
 3. ソフトに 
 4. クリアに",2,,問題4 ( ) に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"転校する日はクラスのみんなと分かれるのが（   ）、涙が止まらなかった。
 1. にくくて 
 2. つらくて 
 3. 痛ましくて 
 4. 重苦しくて",2,,問題4 ( ) に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"自分のやったことがきちんと評価されると、仕事への（   ）も高まる。
 1. 活気 
 2. 根気 
 3. 意図 
 4. 意欲",4,,問題4 ( ) に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"試験が近くなってきたので、アルバイトはやめて、勉強に（   ）することにした。
 1. 特定 
 2. 統一 
 3. 専念 
 4. 注目",3,,問題4 ( ) に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"卒業 パーティーには、ちゃんとした（   ）で行ったほうがいいのかな。
 1. 様子 
 2. 容姿 
 3. 外見 
 4. 格好",4,,問題4 ( ) に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
"子どもが遊んだあとは、おもちやが ( ) いる。
 1. 飛び越えて 
 2. 散らかって 
 3. 見わたして 
 4. 落ち込んで",2,,問題4 ( ) に入れるのに最もよいものを、1、2、3、4から一つ選びなさい。
"田中選手はサッカーの日本代表に選ばれたが、けがを理由に代表を( )した
 1. 避難 
 2. 逃避 
 3. 退場 
 4. 辞退",4,,問題4 ( ) に入れるのに最もよいものを、1、2、3、4から一つ選びなさい。
"今回の調査で ( ) 結果は、今後のサービス向上に生かしていきたい。
 1. にぎった 
 2. はさんだ 
 3. 得た 
 4. 込めた",3,,問題4 ( ) に入れるのに最もよいものを、1、2、3、4から一つ選びなさい。
"大きな荷物を( )いたので、携帯電話に出られなかった。
 1. だいて 
 2. いだいて 
 3. かかえて 
 4. だきしめて",3,,問題4 ( ) に入れるのに最もよいものを、1、2、3、4から一つ選びなさい。
"法律が(   )されて、申請方法が以前とは大幅に変わりました。
 1. 改正 
 2. 改造 
 3. 転換 
 4. 交換",1,,問題4 ( ) に入れるのに最もよいものを、1、2、3、4から一つ選びなさい。
"読書（ 　） なっていて、友達との約束の時間を忘れていた。
 1. 好調に 
 2. 夢中に 
 3. 頑固に 
 4. 強引に",2,,問題4 ( ) に入れるのに最もよいものを、1、2、3、4から一つ選びなさい。
"目が覚めたが、まだ時間が早かったので、しばらくベッドで( 　)していた。
 1. ごろごろ 
 2. ぶらぶら 
 3. ゆらゆら 
 4. うろうろ",1,,問題4 ( ) に入れるのに最もよいものを、1、2、3、4から一つ選びなさい。
"彼は本当は優しい人なのに、無口なせいで、冷たい人だとよく（ ）される
 1. 観測 
 2. 誤解 
 3. 決意 
 4. 承認",2,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"新製品の売れ行きが（ ）なので、生産量を増やすことにした。
 1. 温厚 
 2. 円満 
 3. 好調 
 4. 適切",3,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"彼は、どんな仕事でもミスひとつなく期日までに仕上げてくれるので、本当に（ ）部下だと思う。
 1. 頼もしい 
 2. たくましい 
 3. 輝かしい 
 4. 親しい",1,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"食費を（ ）するために，なるべく外食をしないようにしている。
 1. 減量 
 2. 省略 
 3. 短縮 
 4. 節約",4,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"簡単にお金がもうかるというような話に、すぐ （ ）のはやめたほうがいい。
 1. 駆け込む 
 2. 触れ合う 
 3. 寄りかかる 
 4. 飛びつく",4,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"やりたい仕事内容の（ ）があつたので、早速応募することにした。
 1. 催促 
 2. 入社 
 3. 求人 
 4. 収集",3,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"友達だと思っていたのに、私のいないところで（ ）と私の悪口を言っていたなんてひどい。
 1. うとうと 
 2. こそこそ 
 3. ぶるぶる 
 4. じろじろ",2,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"規則に( )した場合は、 罰金を払わなければならない。
 1. 相違 
 2. 対決 
 3. 違反 
 4. 対抗",3,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"この体育館は、ロッカーやシャワーなどの()がそろっている。
 1. 用具 
 2. 物体 
 3. 設備 
 4. 容器",3,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"化粧品メーカーが健康食品の分野に( )して成功した例もある。
 1. 到達 
 2. 転勤 
 3. 直行 
 4. 進出",4,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"この時期に雪が降ることはあるが、積もることは( )だ。
 1. まれ 
 2. なだらか 
 3. ささやか 
 4. かすか",1,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
"家の隣で夜遅くまでマンション建設工事が行われてうるさいので、 建設会社に ( )の電話をした。
 1. 悪口 
 2. 苦情 
 3. 反論 
 4. 皮肉",2,,問題4 ( )に入れるのに最もよいものを、 1・2・3・4から一つ選びなさい。
