Question,Answers,Comment,Instructions,Render as
今月半ばに全国各地で法案の__徹__廃を求める運動が実施される。,撤,,Find the kanji to replace,Text
町内で頻繁に盗難事件が発生したため、__抽__在所の警察官が見回りを強化している。,駐,,Find the kanji to replace,Text
度重なる__坊__害にも屈せず、見事目的を達成した。,妨,,Find the kanji to replace,Text
化学工場で火災事故が発生し、あたり一面に黒__鉛__が立ち込めている。,煙,,Find the kanji to replace,Text
赤字続きの業績不振であった新規開拓事業がようやく__気__道に乗り始めた。,軌,,Find the kanji to replace,Text
飛行機のエンジントラブルが発生したが__走__縦士の巧みな技術で無事に着陸することができた。,操,,Find the kanji to replace,Text
今回の練習試合は全国大会への__符__石に過ぎない。,布,,Find the kanji to replace,Text
毎年恒例の家族旅行に出掛け、海鮮料理と天然温泉を満__吉__した。,喫,,Find the kanji to replace,Text
連日連夜に及ぶ、警察の懸命な捜__錯__活動により、行方不明者は無事に救助された。,索,,Find the kanji to replace,Text
新規事業が成功するか否かは統括している彼の__総__肩にかかっている。,双,,Find the kanji to replace,Text
法__帝__で裁判官は被告人に禁錮五年六ヶ月の有罪判決を言い渡した。,廷,,Find the kanji to replace,Text
まるで小学生が書いたような誤字脱字の多い稚__説__な文章。,拙,,Find the kanji to replace,Text
厳しい練習を積んで磨き上げた演技力で観客を魅__量__した。,了,,Find the kanji to replace,Text
劣勢で迎えた後半戦、監督の一声で士気が高__揺__した。,揚,,Find the kanji to replace,Text
政府と国民の間で過激な争いを繰り返している国もあるが国内の問題においては他国は不干__性__が原則である。,渉,,Find the kanji to replace,Text
来月に控えた展示会に向け、徹__生__して制作に取り組む。,宵,,Find the kanji to replace,Text
四十七都道府県全ての県に該当する情報が網__等__されている。,羅,,Find the kanji to replace,Text
法律に抵触していないとしても、__臨__理を侵害し、評判を汚すような事態は避けるべきである。,倫,,Find the kanji to replace,Text
裁判所は、公訴の提起があったときは、遅滞なく起訴状の__当__本を被告人に送達しなければならない。,謄,,Find the kanji to replace,Text
老朽化した小学校を解体して新たに病院を建造するため、上__灯__式が行われた。,棟,,Find the kanji to replace,Text
飲酒運転__僕__滅に向けた取り組みの一環として、駅構内にポスターの掲示を行った。,撲,,Find the kanji to replace,Text
国立科学博物館で開催された太古の__捕__乳類展は、二十万人を超える来場者でにぎわいを見せた。,哺,,Find the kanji to replace,Text
中国で行われた体操の世界選手権で日本男子は完__壁__な演技で銀メダルを獲得した。,璧,,Find the kanji to replace,Text
ロシア出身の画家であった彼は抽象絵画の先__区__者として位置づけられている。,駆,,Find the kanji to replace,Text
父は東京都で会社員をしていたが、定年退職後は田舎の古民家に住んで素__木__な生活を送っている。,朴,,Find the kanji to replace,Text
差し__触__りのない範囲で質問に答える。,障,,Find the kanji to replace,Text
前例に__習__うだけでなく、新たな役割を果たすことが重要である。,倣,,Find the kanji to replace,Text
国内線をご利用のお客様は出発時刻の十分前までに__到__乗口へお越しください。,搭,,Find the kanji to replace,Text
水没により携帯電話が故__償__したので販売店に修理を依頼した。,障,,Find the kanji to replace,Text
投機マネーの流入により原油価格が大幅に高__謄__した。,騰,,Find the kanji to replace,Text
薬物を過__乗__に摂取した男性が病院に搬送された。,剰,,Find the kanji to replace,Text
銀行から__誘__資を受け資金繰りを改善する,融,,Find the kanji to replace,Text
クイズ番組に出演して優勝賞金百万円を__確__得した。,獲,,Find the kanji to replace,Text
金曜日に発表された鉱工業指数の中で、出荷指数の低下が__険__著だった。,顕,,Find the kanji to replace,Text
品性や程度が高度に__選__練されている。,洗,,Find the kanji to replace,Text
日本の経済状況を__裕__慮する,憂,,Find the kanji to replace,Text
国内初の女性大臣として一__役__有名になった。,躍,,Find the kanji to replace,Text
高度な印刷技術を駆使して__欺__造紙幣の流通を防ぐ,偽,,Find the kanji to replace,Text
船が海岸から少し離れた場所に停__待__している,滞,,Find the kanji to replace,Text
土地が肥__抑__で作物がよく実っている。,沃,,Find the kanji to replace,Text
__凡__悩を断ち切って悟りの境地に達する。,煩,,Find the kanji to replace,Text
人々の生活に余裕が生まれ娯楽も多__要化__した。,様,,Find the kanji to replace,Text
長年戦禍にさらされてきた国民は平和を__葛__望していた。,渇,,Find the kanji to replace,Text
燃料高騰による運送業界の__急__状を訴える。,窮,,Find the kanji to replace,Text
自動車の普__給__が急速に進み、都心部の交通渋滞が慢性化している,及,,Find the kanji to replace,Text
微生物の繁__触__を長期間にわたり抑制する。,殖,,Find the kanji to replace,Text
価格競__走__の激化から収益性が低下し、多額の負債を抱えた。,争,,Find the kanji to replace,Text
三輪地方はそうめん発__承__の地と言われる。,祥,,Find the kanji to replace,Text
庭園は花の香りが__十__満していた。,充,,Find the kanji to replace,Text
システムの開発を成功させるために__治__密な計画を立てる。,緻,,Find the kanji to replace,Text
国家間の対立を__換__和することが、経済成長にも良い影響を及ぼす。,緩,,Find the kanji to replace,Text
長期間に渡っての継続した支__縁__に感謝いたします。,援,,Find the kanji to replace,Text
過去の記録を全て分__責__し、今後の経営戦略に活用する。,析,,Find the kanji to replace,Text
取引の内容に関しては、私の独__段__では変更の承認は出来ませんので上司と相談させていただきます。,断,,Find the kanji to replace,Text
保護者を含めた関係者全員を招いての__混__談会が開催されることとなった。,懇,,Find the kanji to replace,Text
労働者を__克__使し続けている状況は改善されるべきである。,酷,,Find the kanji to replace,Text
土地開発のために近隣の山々では森林__抜__採が続いている。,伐,,Find the kanji to replace,Text
長期間放置されていたせいか、金属部分が__負__食して使い物にならない。,腐,,Find the kanji to replace,Text
再来年度には、老__及__化の進む校舎の建て替えが予定されている。,朽,,Find the kanji to replace,Text
